series_id,sample_accession,sample_id,data_type,original_disease_label,included_excluded,final_analysis_label,reason_for_exclusion_or_inclusion,source_field_used_for_annotation,annotation_file,annotation_sheet
GSE110147,GSM2978752,GSM2978752,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978753,GSM2978753,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978754,GSM2978754,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978755,GSM2978755,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978756,GSM2978756,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978757,GSM2978757,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978758,GSM2978758,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978759,GSM2978759,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978760,GSM2978760,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978761,GSM2978761,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978762,GSM2978762,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978763,GSM2978763,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978764,GSM2978764,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978765,GSM2978765,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978766,GSM2978766,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978767,GSM2978767,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978768,GSM2978768,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978769,GSM2978769,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978770,GSM2978770,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978771,GSM2978771,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978772,GSM2978772,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978773,GSM2978773,bulk mRNA,group=IPF | subgroup=IPF | tissue=Lung tissue,included,IPF,included in analysis,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
GSE110147,GSM2978774,GSM2978774,bulk mRNA,group=Exclude | subgroup=NSIP | tissue=Lung tissue,excluded,excluded,group=Exclude; subgroup=NSIP,group; subgroup; include; tissue; notes; annotation_file; annotation_sheet,C:\Users\ussen\Documents\bmc genomics\ipf_oligo_ml\data_raw\GEO\GSE110147\matrix\GSE110147_series_matrix.xlsx,annotation_analysis
