series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-362-5p_st,-1.39968316,1.4637116974359,-11.0471327113288,2.41828215490807e-21,2.37004939653943e-18,37.8989986534984
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-345_st,-1.55204808018868,1.7042046275641,-11.0336060133387,2.63192603724534e-21,2.37004939653943e-18,37.8159837447612
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-532-5p_st,-1.9021268,3.19337502564103,-10.8483600529633,8.38040393898815e-21,5.03103583137255e-18,36.6802917929614
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-26a_st,-0.80049635471698,9.37988358974359,-10.0702105221762,1.05307188373777e-18,4.74145615652931e-16,31.9410414061934
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-let-7b_st,-1.03054413207547,10.837096474359,-10.0192143449028,1.44234649503905e-18,5.19533207513064e-16,31.6326713477106
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-500_st,-1.06121498716981,0.969072861538461,-9.92521887503868,2.57337448362087e-18,7.72441240833531e-16,31.0651413695018
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-500-star_st,-1.66988885566038,2.94177553141026,-9.6703968746838,1.229054816841e-17,3.16218246447234e-15,29.5325475095477
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-193a-5p_st,-1.64025236509434,2.26935154679487,-9.58837700948068,2.02901934977094e-17,4.56782981117184e-15,29.0412508449944
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-652_st,-1.87139393773585,4.06342521153846,-9.46832967557872,4.2182503186858e-17,8.44118758217014e-15,28.3240633181358
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-30c-2-star_st,-0.972664780226414,0.925700385897436,-9.37829539032884,7.29211723518141e-17,1.31331031405617e-14,27.7877248858104
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-375_st,-1.5199519354717,1.48566370641026,-9.24031589380774,1.68271435653174e-16,2.75506232373969e-14,26.9684841862961
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-423-3p_st,-1.26878055849056,3.94505307692308,-9.14371455374662,3.01570376262115e-16,4.52606873040057e-14,26.3969699198417
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-502-3p_st,-1.5595321,3.22430853205128,-9.08586810929223,4.27323911703549e-16,5.92007973060071e-14,26.0555797006709
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-184_st,-0.897643146839622,0.719703509967949,-8.87974466224281,1.47174637226636e-15,1.8872215212739e-13,24.8444999600182
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-18a_st,-1.4527038490566,2.14030935897436,-8.86874071269396,1.57181137252129e-15,1.8872215212739e-13,24.7800919317669
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-223_st,-1.62415654264151,1.98517477179487,-8.77126798954014,2.81169796609376e-15,3.16491752308429e-13,24.2107010184681
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-181a_st,-0.99342677735849,6.88369064102564,-8.75657121378743,3.06883976815459e-15,3.25116495438025e-13,24.1250288458344
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-30d_st,-1.3825413490566,5.69642387820513,-8.65835982129945,5.50072465813803e-15,5.50378061628144e-13,23.5537650314952
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-501-3p_st,-0.992955525377358,1.48557843070513,-8.56420688081925,9.60526459904842e-15,9.10477975941379e-13,23.0081897882327
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-30a_st,-1.39235319245283,5.85819525641026,-8.42424974752227,2.19133515621782e-14,1.97329730817415e-12,22.201124287039
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-181c_st,-0.743710950641509,0.802484421794872,-8.24168799088761,6.37981383285563e-14,5.47144986332047e-12,21.1557965272283
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-203_st,-1.34545923830189,1.80626095705128,-8.16956329012857,9.70810514120069e-14,7.94740789059202e-12,20.7452427325117
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-126_st,-1.08526596603773,7.19214608974359,-8.0316676962375,2.15792461719019e-13,1.68974879806936e-11,19.9642997852911
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,spike_in-control-23_st,-1.28665930188679,12.2737675,-7.96932106610993,3.09122421776856e-13,2.31970617341716e-11,19.6129889313732
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-210_st,-1.66995579735849,3.09823336538462,-7.81510567780245,7.48423422690742e-13,5.39164233706411e-11,18.7489557516411
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-130a_st,-1.6770333045283,2.81297365,-7.8053924613724,7.9110254981985e-13,5.47990650855981e-11,18.6947761540105
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1301_st,-0.830431219245282,1.18655847307692,-7.77859038368585,9.21783312248252e-13,6.1486360939226e-11,18.5454275068419
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-let-7d_st,-0.554594328301886,8.18846006410256,-7.73144562754592,1.20556318109947e-12,7.59929026840315e-11,18.2832676603958
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-151-3p_st,-1.29094482754717,2.36301266025641,-7.7245349042428,1.25386661476553e-12,7.59929026840315e-11,18.244897681294
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-378_st,-1.48347202075472,4.02494398076923,-7.72286196477189,1.26584513077232e-12,7.59929026840315e-11,18.2356113959542
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-125a-3p_st,-0.726632745283018,1.11236786538462,-7.71603780484642,1.31589261249107e-12,7.64491159708524e-11,18.19774049755
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U3-2_s_st,-0.58059427226415,0.548583485512821,-7.68493653480566,1.56996315515054e-12,8.58356484508875e-11,18.0253307087017
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-197_st,-0.881099787924528,1.75811391025641,-7.68462047669213,1.57277978838384e-12,8.58356484508875e-11,18.0235802281827
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-15a_st,-1.27476200471698,1.81707226089744,-7.66793940146723,1.72875978504408e-12,9.15734227313058e-11,17.9312380093238
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-30a-star_st,-1.21636693509434,1.49714728205128,-7.63705783543416,2.05902381067699e-12,1.05951482372265e-10,17.7605224832199
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-24_st,-0.467311045283019,9.83153493589744,-7.5872280267749,2.7283427428932e-12,1.36492924443074e-10,17.4857152160841
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-17-star_st,-0.74339077,0.921506922435898,-7.5762548639713,2.90249165245675e-12,1.38957091754721e-10,17.4253088974424
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-130b_st,-1.07707046981132,1.69506272435897,-7.57446580243235,2.93190976495247e-12,1.38957091754721e-10,17.4154640475264
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-423-5p_st,-1.53885300377358,3.91085251282051,-7.4351851505179,6.4079486265134e-12,2.95915781444888e-10,16.6523335306516
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-342-5p_st,-0.85710416735849,1.18256874679487,-7.26913123805909,1.61385397556726e-11,7.26637752499161e-10,15.751298035521
