series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,platform,standard_feature_id,gene_symbol,mirna_name,entrez_id,all_mapped_symbols,annotation_source,is_annotated,is_multi_mapped
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00011853,-2.34068410305555,7.460527022,-5.04452462660396,7.73399114595455e-05,0.0024407270759311,1.64112357629041,GPL8936,ebv-miR-BART13,,ebv-miR-BART13,,ebv-miR-BART13,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00013791,-3.03241005455555,7.3148337856,-4.41341513301631,0.0003146570644087,0.0051316554799542,0.28215901254282,GPL8936,ebv-miR-BART19-3p,,ebv-miR-BART19-3p,,ebv-miR-BART19-3p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00011724,-1.581281447,7.68681818746667,-4.31211690475209,0.0003951065587802,0.0059127637542744,0.062121064408684,GPL8936,hcmv-miR-UL70-3p,,hcmv-miR-UL70-3p,,hcmv-miR-UL70-3p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00013825,-1.73780955883333,6.7596444032,-4.44180610566962,0.0002952331082692,0.0050522285429178,0.343772151307319,GPL8936,hiv1-miR-H1,,hiv1-miR-H1,,hiv1-miR-H1,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010086,4.084598843,9.49318621346667,5.76387866663414,1.63607619725929e-05,0.0009798489628716,3.1462298360256,GPL8936,hsa-let-7a,,hsa-let-7a,,hsa-let-7a,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010070,2.68961433133333,12.8795615241333,5.33445304410292,4.10717379746346e-05,0.0018146240596065,2.2545999673701,GPL8936,hsa-let-7b,,hsa-let-7b,,hsa-let-7b,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010072,2.4545527785,11.3978667086,4.63562962399841,0.000191336965842,0.0038110559589843,0.763477829378456,GPL8936,hsa-let-7c,,hsa-let-7c,,hsa-let-7c,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00011980,2.46166647411111,7.21924175213333,5.39512597692105,3.60171511496731e-05,0.0016559685409299,2.38187700582569,GPL8936,hsa-let-7d,,hsa-let-7d,,hsa-let-7d,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00011985,2.79039943983333,7.40900126873333,5.92021744714391,1.1766539248937e-05,0.0007654560915577,3.46518383034104,GPL8936,hsa-let-7e,,hsa-let-7e,,hsa-let-7e,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010088,4.50194103733333,9.4354422284,5.91204683993968,1.19700952589273e-05,0.0007654560915577,3.44859367826597,GPL8936,hsa-let-7f,,hsa-let-7f,,hsa-let-7f,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012142,3.21506432577778,7.98905441246667,4.98399727339644,8.83570607840435e-05,0.0026077902516997,1.51203800525085,GPL8936,hsa-let-7g,,hsa-let-7g,,hsa-let-7g,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012146,3.31576998811111,8.6431587852,6.53113234330799,3.34421506958853e-06,0.0004060779540834,4.67962848301815,GPL8936,hsa-let-7i,,hsa-let-7i,,hsa-let-7i,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012150,1.04405927033333,5.8555193362,3.93580658808886,0.0009232948300484,0.0103392001705883,-0.756195494704908,GPL8936,hsa-miR-1,,hsa-miR-1,,hsa-miR-1,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010474,2.00810640238889,8.8316766406,6.07939264293376,8.43852866450682e-06,0.0005858749901357,3.78660156823471,GPL8936,hsa-miR-100,,hsa-miR-100,,hsa-miR-100,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00011004,2.22825912961111,8.7197152266,5.03010206833813,7.98310315735981e-05,0.0024659937799227,1.61039435091438,GPL8936,hsa-miR-103,,hsa-miR-103,,hsa-miR-103,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00011068,2.23096392777778,7.33383735,4.92457040460616,0.0001007325329612,0.0027290973016136,1.38499220756888,GPL8936,hsa-miR-107,,hsa-miR-107,,hsa-miR-107,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010469,2.55828891011111,7.07748885906667,6.54661587631428,3.24133963691746e-06,0.0004060779540834,4.7097200396309,GPL8936,hsa-miR-10a,,hsa-miR-10a,,hsa-miR-10a,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012083,1.59892262655556,6.0980589216,6.53544413548761,3.31523237555052e-06,0.0004060779540834,4.68801176198336,GPL8936,hsa-miR-10b,,hsa-miR-10b,,hsa-miR-10b,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00014906,-1.38279637361111,7.64588980266667,-3.18427926464647,0.0049961722541877,0.0345888848366841,-2.36791270505209,GPL8936,hsa-miR-1224-5p,,hsa-miR-1224-5p,,hsa-miR-1224-5p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00014919,-1.54036245411111,10.6840410588667,-3.06732978831214,0.0064721743581421,0.0413004786875988,-2.61202757529902,GPL8936,hsa-miR-1225-5p,,hsa-miR-1225-5p,,hsa-miR-1225-5p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012213,-2.58649515238889,8.44439404873333,-4.432899072637,0.0003011928455933,0.0050826292693886,0.324445497970924,GPL8936,hsa-miR-125a-3p,,hsa-miR-125a-3p,,hsa-miR-125a-3p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012209,1.47925436572222,6.59365693526667,4.26140017567433,0.0004428870327045,0.0064060445801903,-0.0481372329635663,GPL8936,hsa-miR-125a-5p,,hsa-miR-125a-5p,,hsa-miR-125a-5p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010979,2.26381743438889,11.1566713551333,5.1414363583253,6.25340014701546e-05,0.0021108463776711,1.84710907485685,GPL8936,hsa-miR-125b,,hsa-miR-125b,,hsa-miR-125b,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00013394,-1.64158339622222,6.31754332293333,-3.28435769507266,0.0039985576154981,0.029178663680662,-2.15706796700486,GPL8936,hsa-miR-125b-1*,,hsa-miR-125b-1*,,hsa-miR-125b-1*,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012216,3.89544336972222,8.997497845,4.80783269938121,0.0001304339556401,0.0030382006268725,1.13459926814061,GPL8936,hsa-miR-126,,hsa-miR-126,,hsa-miR-126,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010439,2.18732677477778,8.68581458286667,3.23340788492627,0.0044792668338748,0.0318263696091108,-2.2646164812074,GPL8936,hsa-miR-130a,,hsa-miR-130a,,hsa-miR-130a,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012167,1.02039388155555,5.45704708793333,5.62516949958534,2.19736167620033e-05,0.0012135429257197,2.86063613263414,GPL8936,hsa-miR-133a,,hsa-miR-133a,,hsa-miR-133a,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012231,-1.74618670027778,8.146494715,-3.99002799292313,0.0008168733013854,0.0098792298327325,-0.638364797452671,GPL8936,hsa-miR-134,,hsa-miR-134,,hsa-miR-134,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00013407,-1.96298997772222,7.13187731353333,-4.08814481125556,0.0006545554734853,0.0083855630527453,-0.424997223724938,GPL8936,hsa-miR-135a*,,hsa-miR-135a*,,hsa-miR-135a*,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012383,1.18448755388889,5.70891626033333,3.69617407358139,0.0015860365889125,0.0147606574032298,-1.27554072481232,GPL8936,hsa-miR-135b,,hsa-miR-135b,,hsa-miR-135b,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010607,1.340420955,6.80385457366667,3.61227536003375,0.0019162436244969,0.0167498993076535,-1.45653839913667,GPL8936,hsa-miR-140-5p,,hsa-miR-140-5p,,hsa-miR-140-5p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010548,-2.13752372233333,8.94346650193333,-7.23530867067539,8.34383635404628e-07,0.0003087211775774,6.01233111386153,GPL8936,hsa-miR-141,,hsa-miR-141,,hsa-miR-141,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012183,1.57825060805556,6.08580113666667,6.65379794759569,2.61320727537073e-06,0.0004060779540834,4.91706420618649,GPL8936,hsa-miR-143,,hsa-miR-143,,hsa-miR-143,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012193,1.47019635483334,11.7739986747333,3.49722836547576,0.0024823888245576,0.0205177035499153,-1.70372665993493,GPL8936,hsa-miR-145,,hsa-miR-145,,hsa-miR-145,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00013427,1.19666912561111,6.21790715386667,4.84665950296626,0.0001196769229349,0.0029219879860888,1.21799555966116,GPL8936,hsa-miR-145*,,hsa-miR-145*,,hsa-miR-145*,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010078,1.28673826488889,7.0708636796,3.28505602527039,0.0039923336267997,0.029178663680662,-2.15559102920798,GPL8936,hsa-miR-146a,,hsa-miR-146a,,hsa-miR-146a,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010386,2.49470613588889,7.50760497386667,4.32903864031443,0.0003803492728921,0.0058128851140123,0.0988971633254057,GPL8936,hsa-miR-146b-5p,,hsa-miR-146b-5p,,hsa-miR-146b-5p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00010132,2.27482984433333,7.33369566293333,5.1771669558474,5.78352391073952e-05,0.0020920405389681,1.92282782159823,GPL8936,hsa-miR-148a,,hsa-miR-148a,,hsa-miR-148a,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00013449,-1.05769988238889,6.24750252273333,-3.45208463261059,0.0027472336247236,0.0223270157460821,-1.80034623646848,GPL8936,hsa-miR-149*,,hsa-miR-149*,,hsa-miR-149*,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00014846,2.13198707888889,7.64490203566667,6.40653988453954,4.30518897665048e-06,0.0004256848460511,4.43622474675671,GPL8936,hsa-miR-150,,hsa-miR-150,,hsa-miR-150,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00013450,-1.83305719483333,7.3404975146,-5.1287031657552,6.43011808094473e-05,0.0021108463776711,1.82009538867093,GPL8936,hsa-miR-150*,,hsa-miR-150*,,hsa-miR-150*,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012376,1.98042250722222,7.20290175233333,5.86628122011513,1.3179157733437e-05,0.0008211629049295,3.35550548317732,GPL8936,hsa-miR-151-5p,,hsa-miR-151-5p,,hsa-miR-151-5p,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012196,1.32657898422222,6.58910774153333,4.64707013251627,0.0001865149899645,0.0037769285467814,0.788191314596517,GPL8936,hsa-miR-152,,hsa-miR-152,,hsa-miR-152,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00014817,2.56887689961111,8.2391640776,4.74161874595007,0.0001510984754764,0.0033255902034526,0.992128876965806,GPL8936,hsa-miR-15a,,hsa-miR-15a,,hsa-miR-15a,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00011102,2.93837361983333,8.45404627573333,4.867673540868,0.0001142357762695,0.0028617828488134,1.26308448277782,GPL8936,hsa-miR-15b,,hsa-miR-15b,,hsa-miR-15b,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00014818,4.02999372511111,8.7986241114,6.37726475875882,4.56980632299444e-06,0.0004271011294183,4.37870859340001,GPL8936,hsa-miR-16,,hsa-miR-16,,hsa-miR-16,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00013315,1.13277796161111,5.73219239146667,5.17160162883327,5.85426982098077e-05,0.0020920405389681,1.91104227084558,GPL8936,hsa-miR-181a-2*,,hsa-miR-181a-2*,,hsa-miR-181a-2*,GPL8936_platform_table,True,False
GSE21394,miRNA,mirna_validation,limma,IPF_vs_Control,A_25_P00012098,1.25115281722222,5.550537597,5.18008456544791,5.7467850043255e-05,0.0020920405389681,1.92900514250479,GPL8936,hsa-miR-183,,hsa-miR-183,,hsa-miR-183,GPL8936_platform_table,True,False
