series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,platform,standard_feature_id,gene_symbol,mirna_name,entrez_id,all_mapped_symbols,annotation_source,is_annotated,is_multi_mapped
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,DarkCorner,0.206858399371795,0.14122067184,0.433648030569697,0.668425885556076,0.82013539710172,-6.23128907716405,GPL8227,DarkCorner,,DarkCorner,,DarkCorner,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,NC1_00000197,0.274289840474359,-0.26045303112,0.407890958860027,0.686977863094928,0.830646282181055,-6.24214222933194,GPL8227,NC1_00000197,,NC1_00000197,,NC1_00000197,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,NC1_00000215,-0.0976935221153845,0.346002836,-0.20797627543042,0.837006272806367,0.908181092306098,-6.30398152102677,GPL8227,NC1_00000215,,NC1_00000215,,NC1_00000215,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,NC2_00079215,-0.0418479382051282,0.0151401988,-0.0641359842073938,0.949394369261755,0.973099596958678,-6.32370911884092,GPL8227,NC2_00079215,,NC2_00079215,,NC2_00079215,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,NC2_00092197,-0.126487663397436,0.1661045592,-0.191709459058077,0.849586198210472,0.91111562769522,-6.30725614754783,GPL8227,NC2_00092197,,NC2_00092197,,NC2_00092197,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,NC2_00106057,0.202510554230769,-0.1759204968,0.317909594769058,0.753309405778628,0.875404270909318,-6.27490372746603,GPL8227,NC2_00106057,,NC2_00106057,,NC2_00106057,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,NC2_00122731,-0.145214084910256,-0.18988672932,-0.222356807479872,0.825921788370125,0.906807356950972,-6.30086549003867,GPL8227,NC2_00122731,,NC2_00122731,,NC2_00122731,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,NegativeControl,0.0936511237692307,-0.64069075464,0.0930637211918225,0.926627223884615,0.961771113538898,-6.32141542742145,GPL8227,NegativeControl,,NegativeControl,,NegativeControl,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,SCorner3,-0.152889347089744,0.09621643668,-0.992288584530278,0.330978798608982,0.812704864847636,-5.83925812421733,GPL8227,SCorner3,,SCorner3,,SCorner3,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,dmr_285,0.0039070644935897,0.02095415912,0.159502831030556,0.874610508179966,0.928105430267425,-6.3129554525297,GPL8227,dmr_285,,dmr_285,,dmr_285,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,dmr_3,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,dmr_3,,dmr_3,,dmr_3,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,dmr_308,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,dmr_308,,dmr_308,,dmr_308,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,dmr_316,0.128986241666667,0.351517374,0.425089930611261,0.674566877510426,0.822911450870817,-6.234967741236,GPL8227,dmr_316,,dmr_316,,dmr_316,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,dmr_31a,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,dmr_31a,,dmr_31a,,dmr_31a,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,dmr_6,-0.491820532884615,-0.0040733396,-1.95102900875989,0.0628491377445744,0.460706625788353,-4.54778429228222,GPL8227,dmr_6,,dmr_6,,dmr_6,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART1-3p,0.023900153698718,0.22453764484,0.118412453283554,0.90672861068594,0.950733319761375,-6.31871212986735,GPL8227,ebv-miR-BART1-3p,,ebv-miR-BART1-3p,,ebv-miR-BART1-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART1-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART1-5p,,ebv-miR-BART1-5p,,ebv-miR-BART1-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART10,-0.0475007415897436,0.23898638904,-0.158656581375652,0.875269961361386,0.928105430267425,-6.3130911458278,GPL8227,ebv-miR-BART10,,ebv-miR-BART10,,ebv-miR-BART10,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART10*,0.0125564819102564,0.37382649176,0.0447261929405283,0.964696459462408,0.975935416428109,-6.32477504952772,GPL8227,ebv-miR-BART10*,,ebv-miR-BART10*,,ebv-miR-BART10*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART11-3p,0.0722433401602564,0.0620218558,0.884376725645356,0.385287024701468,0.812704864847636,-5.93768435045106,GPL8227,ebv-miR-BART11-3p,,ebv-miR-BART11-3p,,ebv-miR-BART11-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART11-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART11-5p,,ebv-miR-BART11-5p,,ebv-miR-BART11-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART12,0.124889896602564,0.1788547954,0.255469879986123,0.800541859788565,0.895428973959689,-6.29290230993979,GPL8227,ebv-miR-BART12,,ebv-miR-BART12,,ebv-miR-BART12,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART13,0.222908826666666,0.1656544532,0.701466205283362,0.48977407683012,0.812704864847636,-6.08012239883103,GPL8227,ebv-miR-BART13,,ebv-miR-BART13,,ebv-miR-BART13,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART13*,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART13*,,ebv-miR-BART13*,,ebv-miR-BART13*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART14,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART14,,ebv-miR-BART14,,ebv-miR-BART14,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART14*,-0.0133336819871795,0.0321674142,-0.411023024055096,0.684710903666484,0.830351036794953,-6.2408574406053,GPL8227,ebv-miR-BART14*,,ebv-miR-BART14*,,ebv-miR-BART14*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART15,0.04875420625,0.200796123,0.226143862150661,0.823008762017379,0.906807356950972,-6.30001039748575,GPL8227,ebv-miR-BART15,,ebv-miR-BART15,,ebv-miR-BART15,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART16,-0.514550388467949,0.47804057908,-1.32448652951037,0.197844632592861,0.765265734815141,-5.47259144828801,GPL8227,ebv-miR-BART16,,ebv-miR-BART16,,ebv-miR-BART16,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART17-3p,0.499528083448718,0.28876282456,1.55280900366562,0.133586985999025,0.68978001151415,-5.16847488333571,GPL8227,ebv-miR-BART17-3p,,ebv-miR-BART17-3p,,ebv-miR-BART17-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART17-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART17-5p,,ebv-miR-BART17-5p,,ebv-miR-BART17-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART18-3p,0.14030877699359,0.09095979312,1.04138795517141,0.308096526934024,0.812704864847636,-5.79103133311188,GPL8227,ebv-miR-BART18-3p,,ebv-miR-BART18-3p,,ebv-miR-BART18-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART18-5p,-0.0797654880192308,0.29622605348,-0.267975766514242,0.791012899286352,0.893230120812553,-6.28960929245903,GPL8227,ebv-miR-BART18-5p,,ebv-miR-BART18-5p,,ebv-miR-BART18-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART19-3p,-0.520800989307692,-0.81259115744,-0.885729788791817,0.384571931356821,0.812704864847636,-5.93651544211927,GPL8227,ebv-miR-BART19-3p,,ebv-miR-BART19-3p,,ebv-miR-BART19-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART19-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART19-5p,,ebv-miR-BART19-5p,,ebv-miR-BART19-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART2-3p,0.0190730426089743,0.02791721124,0.777824379615068,0.444290410687509,0.812704864847636,-6.02444877665985,GPL8227,ebv-miR-BART2-3p,,ebv-miR-BART2-3p,,ebv-miR-BART2-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART2-5p,-0.40749363624359,0.30006368032,-1.77707431954997,0.0882627083445568,0.52893199672176,-4.83215754145562,GPL8227,ebv-miR-BART2-5p,,ebv-miR-BART2-5p,,ebv-miR-BART2-5p,GPL8227_platform_table,True,False
