gene_set,input_symbol,SYMBOL,ENTREZID,GENENAME
background_gse32537_all_tested_annotated_mrna,AADAC,AADAC,13,arylacetamide deacetylase
background_gse32537_all_tested_annotated_mrna,AADACL2,AADACL2,344752,arylacetamide deacetylase like 2
background_gse32537_all_tested_annotated_mrna,AADACL3,AADACL3,126767,arylacetamide deacetylase like 3
background_gse32537_all_tested_annotated_mrna,AADAT,AADAT,51166,aminoadipate aminotransferase
background_gse32537_all_tested_annotated_mrna,AAED1,AAED1,,
background_gse32537_all_tested_annotated_mrna,AAK1,AAK1,22848,AP2 associated kinase 1
background_gse32537_all_tested_annotated_mrna,AAMDC,AAMDC,28971,adipogenesis associated Mth938 domain containing
background_gse32537_all_tested_annotated_mrna,AARD,AARD,441376,alanine and arginine rich domain containing protein
background_gse32537_all_tested_annotated_mrna,AARS,AARS,,
background_gse32537_all_tested_annotated_mrna,AASDH,AASDH,132949,aminoadipate-semialdehyde dehydrogenase
background_gse32537_all_tested_annotated_mrna,AASS,AASS,10157,aminoadipate-semialdehyde synthase
background_gse32537_all_tested_annotated_mrna,AATK,AATK,9625,apoptosis associated tyrosine kinase
background_gse32537_all_tested_annotated_mrna,ABAT,ABAT,18,4-aminobutyrate aminotransferase
background_gse32537_all_tested_annotated_mrna,ABCA1,ABCA1,19,ATP binding cassette subfamily A member 1
background_gse32537_all_tested_annotated_mrna,ABCA10,ABCA10,10349,ATP binding cassette subfamily A member 10
background_gse32537_all_tested_annotated_mrna,ABCA11P,ABCA11P,79963,"ATP binding cassette subfamily A member 11, pseudogene"
background_gse32537_all_tested_annotated_mrna,ABCA12,ABCA12,26154,ATP binding cassette subfamily A member 12
background_gse32537_all_tested_annotated_mrna,ABCA13,ABCA13,154664,ATP binding cassette subfamily A member 13
background_gse32537_all_tested_annotated_mrna,ABCA3,ABCA3,21,ATP binding cassette subfamily A member 3
background_gse32537_all_tested_annotated_mrna,ABCA5,ABCA5,23461,ATP binding cassette subfamily A member 5
background_gse32537_all_tested_annotated_mrna,ABCA6,ABCA6,23460,ATP binding cassette subfamily A member 6
background_gse32537_all_tested_annotated_mrna,ABCA8,ABCA8,10351,ATP binding cassette subfamily A member 8
background_gse32537_all_tested_annotated_mrna,ABCA9,ABCA9,10350,ATP binding cassette subfamily A member 9
background_gse32537_all_tested_annotated_mrna,ABCB1,ABCB1,5243,ATP binding cassette subfamily B member 1
background_gse32537_all_tested_annotated_mrna,ABCB6,ABCB6,10058,ATP binding cassette subfamily B member 6 (LAN blood group)
background_gse32537_all_tested_annotated_mrna,ABCB8,ABCB8,11194,ATP binding cassette subfamily B member 8
background_gse32537_all_tested_annotated_mrna,ABCC3,ABCC3,8714,ATP binding cassette subfamily C member 3
background_gse32537_all_tested_annotated_mrna,ABCC4,ABCC4,10257,ATP binding cassette subfamily C member 4 (PEL blood group)
background_gse32537_all_tested_annotated_mrna,ABCC5,ABCC5,10057,ATP binding cassette subfamily C member 5
background_gse32537_all_tested_annotated_mrna,ABCC6,ABCC6,368,ATP binding cassette subfamily C member 6
background_gse32537_all_tested_annotated_mrna,ABCC8,ABCC8,6833,ATP binding cassette subfamily C member 8
background_gse32537_all_tested_annotated_mrna,ABCC9,ABCC9,10060,ATP binding cassette subfamily C member 9
background_gse32537_all_tested_annotated_mrna,ABCD1,ABCD1,215,ATP binding cassette subfamily D member 1
background_gse32537_all_tested_annotated_mrna,ABCD2,ABCD2,225,ATP binding cassette subfamily D member 2
background_gse32537_all_tested_annotated_mrna,ABCE1,ABCE1,6059,ATP binding cassette subfamily E member 1
background_gse32537_all_tested_annotated_mrna,ABCF2,ABCF2,10061,ATP binding cassette subfamily F member 2
background_gse32537_all_tested_annotated_mrna,ABCG1,ABCG1,9619,ATP binding cassette subfamily G member 1
background_gse32537_all_tested_annotated_mrna,ABCG2,ABCG2,9429,ATP binding cassette subfamily G member 2 (JR blood group)
background_gse32537_all_tested_annotated_mrna,ABHD10,ABHD10,55347,"abhydrolase domain containing 10, depalmitoylase"
background_gse32537_all_tested_annotated_mrna,ABHD12B,ABHD12B,145447,abhydrolase domain containing 12B
background_gse32537_all_tested_annotated_mrna,ABHD15,ABHD15,116236,abhydrolase domain containing 15
background_gse32537_all_tested_annotated_mrna,ABHD16B,ABHD16B,140701,abhydrolase domain containing 16B
background_gse32537_all_tested_annotated_mrna,ABHD17A,ABHD17A,81926,"abhydrolase domain containing 17A, depalmitoylase"
background_gse32537_all_tested_annotated_mrna,ABHD17AP4,ABHD17AP4,729495,ABHD17A pseudogene 4
background_gse32537_all_tested_annotated_mrna,ABHD17C,ABHD17C,58489,"abhydrolase domain containing 17C, depalmitoylase"
background_gse32537_all_tested_annotated_mrna,ABHD2,ABHD2,11057,"abhydrolase domain containing 2, acylglycerol lipase"
background_gse32537_all_tested_annotated_mrna,ABHD5,ABHD5,51099,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
background_gse32537_all_tested_annotated_mrna,ABHD6,ABHD6,57406,"abhydrolase domain containing 6, acylglycerol lipase"
background_gse32537_all_tested_annotated_mrna,ABI3,ABI3,51225,ABI family member 3
background_gse32537_all_tested_annotated_mrna,ABI3BP,ABI3BP,25890,ABI family member 3 binding protein
background_gse32537_all_tested_annotated_mrna,ABL2,ABL2,27,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
background_gse32537_all_tested_annotated_mrna,ABLIM1,ABLIM1,3983,actin binding LIM protein 1
background_gse32537_all_tested_annotated_mrna,ABLIM3,ABLIM3,22885,actin binding LIM protein family member 3
background_gse32537_all_tested_annotated_mrna,ABRACL,ABRACL,58527,ABRA C-terminal like
background_gse32537_all_tested_annotated_mrna,ACAA1,ACAA1,30,acetyl-CoA acyltransferase 1
background_gse32537_all_tested_annotated_mrna,ACAA2,ACAA2,10449,acetyl-CoA acyltransferase 2
background_gse32537_all_tested_annotated_mrna,ACACA,ACACA,31,acetyl-CoA carboxylase alpha
background_gse32537_all_tested_annotated_mrna,ACACB,ACACB,32,acetyl-CoA carboxylase beta
background_gse32537_all_tested_annotated_mrna,ACADL,ACADL,33,acyl-CoA dehydrogenase long chain
