gene_set,gene_symbol
robust_mrna_strict,ASPN
robust_mrna_strict,COL14A1
robust_mrna_strict,NECAB1
robust_mrna_strict,CDH3
robust_mrna_strict,LRRC17
robust_mrna_strict,CD24
robust_mrna_strict,CFH
robust_mrna_strict,DIO2
robust_mrna_strict,DCLK1
robust_mrna_strict,CXCL14
robust_mrna_strict,MMP7
robust_mrna_strict,ID1
robust_mrna_strict,PAPSS2
robust_mrna_strict,COL1A1
robust_mrna_strict,BTNL9
robust_mrna_strict,LRRN1
robust_mrna_strict,HIF3A
robust_mrna_strict,FCN3
robust_mrna_strict,GOLM1
robust_mrna_strict,CDH2
robust_mrna_strict,LTBP1
robust_mrna_strict,COL17A1
robust_mrna_strict,CRTAC1
robust_mrna_strict,CP
robust_mrna_strict,SULF1
robust_mrna_strict,COL3A1
robust_mrna_strict,IL13RA2
robust_mrna_strict,SPATA18
robust_mrna_strict,TP63
robust_mrna_strict,ITLN2
robust_mrna_strict,SYNPO2
robust_mrna_strict,KRT5
robust_mrna_strict,CLDN1
robust_mrna_strict,COL1A2
robust_mrna_strict,CCDC80
robust_mrna_strict,INMT
robust_mrna_strict,TMEM100
robust_mrna_strict,SFRP4
robust_mrna_strict,SMAD6
robust_mrna_strict,FAP
robust_mrna_strict,VIPR1
robust_mrna_strict,TDO2
robust_mrna_strict,PEBP4
robust_mrna_strict,POSTN
robust_mrna_strict,CLIC6
robust_mrna_strict,TMEM45A
robust_mrna_strict,COL6A3
robust_mrna_strict,PLA2G1B
robust_mrna_strict,SLAMF7
robust_mrna_strict,TNC
robust_mrna_strict,TMPRSS4
robust_mrna_strict,ZNF385D
robust_mrna_strict,SLC19A3
robust_mrna_strict,KRT15
robust_mrna_strict,PLA2G4F
robust_mrna_strict,VCAM1
robust_mrna_strict,HHIP
robust_mrna_strict,BPIFB1
robust_mrna_strict,VSIG1
robust_mrna_strict,PROM1
robust_mrna_strict,CYP24A1
robust_mrna_strict,VTCN1
robust_mrna_strict,MUC5B
robust_mrna_strict,HSD17B6
robust_mrna_strict,CACNA2D2
robust_mrna_strict,ABCA13
robust_mrna_strict,SLC6A4
robust_mrna_strict,MUC4
robust_mrna_strict,CXCL13
robust_mrna_strict,IGF1
robust_mrna_strict,SPP1
robust_mrna_strict,RTKN2
robust_mrna_strict,FAM81B
robust_mrna_strict,DNAH5
robust_mrna_strict,MSMB
robust_mrna_strict,GPX3
robust_mrna_strict,FNDC1
robust_mrna_strict,KLHL13
robust_mrna_strict,PTGFRN
robust_mrna_strict,THY1
robust_mrna_strict,NPR1
robust_mrna_strict,CNTN3
robust_mrna_strict,COL15A1
robust_mrna_strict,PCDH7
robust_mrna_strict,PLLP
robust_mrna_strict,FMO5
robust_mrna_strict,ACVRL1
robust_mrna_strict,TRIM2
robust_mrna_strict,OGN
robust_mrna_strict,AFF3
robust_mrna_strict,COMP
robust_mrna_strict,PAMR1
robust_mrna_strict,HHLA2
robust_mrna_strict,PTPRB
robust_mrna_strict,CCL13
robust_mrna_strict,TGFB3
robust_mrna_strict,FIBIN
robust_mrna_strict,ZNF385B
robust_mrna_strict,GPX8
robust_mrna_strict,GEM
robust_mrna_strict,PRUNE2
robust_mrna_strict,SIX4
robust_mrna_strict,DTHD1
robust_mrna_strict,DNAH6
robust_mrna_strict,CCDC146
robust_mrna_strict,HYDIN
robust_mrna_strict,ABCA3
robust_mrna_strict,RGS22
robust_mrna_strict,NELL2
robust_mrna_strict,SLC39A8
robust_mrna_strict,TRIM29
robust_mrna_strict,SPATA17
robust_mrna_strict,EFHC2
robust_mrna_strict,FAM83D
robust_mrna_strict,TSPAN1
robust_mrna_strict,DNAH7
robust_mrna_strict,SPAG6
robust_mrna_strict,LRRIQ1
robust_mrna_strict,MS4A15
robust_mrna_strict,WDR63
robust_mrna_strict,SLN
robust_mrna_strict,GSTA1
robust_mrna_strict,SIX1
robust_mrna_strict,LRRN4
robust_mrna_strict,SFTA2
robust_mrna_strict,ST6GALNAC1
robust_mrna_strict,SNTN
robust_mrna_strict,AMPD1
robust_mrna_strict,DNAH12
robust_mrna_strict,RXFP1
robust_mrna_strict,ACADL
robust_mrna_strict,CHST9
robust_mrna_strict,EFCAB1
robust_mrna_strict,AGER
robust_mrna_strict,DSC3
robust_mrna_strict,RSPH1
robust_mrna_strict,CCDC113
robust_mrna_strict,ARMC3
robust_mrna_strict,MME
robust_mrna_strict,NEK10
robust_mrna_strict,DNAH9
robust_mrna_strict,DNAH10
robust_mrna_strict,SLC27A2
robust_mrna_strict,CASC1
robust_mrna_strict,ARMC4
robust_mrna_strict,GRIA1
robust_mrna_strict,ENKUR
robust_mrna_strict,IQUB
robust_mrna_strict,STOML3
robust_mrna_strict,VWA3B
robust_mrna_strict,DNAAF1
robust_mrna_strict,CAPSL
robust_mrna_strict,C9ORF135
robust_mrna_strict,RSPH4A
robust_mrna_strict,MDH1B
robust_mrna_strict,C6
robust_mrna_strict,DCDC1
robust_mrna_strict,C6ORF118
robust_mrna_strict,DNAH3
robust_mrna_strict,DNAI1
robust_mrna_strict,CAPN13
robust_mrna_strict,HECW2
robust_mrna_strict,STOX1
robust_mrna_strict,PIH1D2
robust_mrna_strict,ADH7
robust_mrna_strict,ANKRD1
robust_mrna_strict,BPIFA1
robust_mrna_strict,SFRP2
robust_mrna_strict,EPHA3
robust_mrna_strict,MMP13
robust_mrna_strict,FAM216B
robust_mrna_strict,PLN
robust_mrna_strict,LEPREL1
robust_mrna_strict,MMP1
robust_mrna_strict,EFCAB10
robust_mrna_strict,FIGF
robust_mrna_strict,CPB2
robust_mrna_strict,SERPINB3
robust_mrna_strict,S100A8
robust_mrna_strict,ZBBX
robust_mrna_strict,FANK1
robust_mrna_strict,SPAG17
robust_mrna_strict,ADGB
robust_mrna_strict,PSD3
robust_mrna_strict,SYTL2
robust_mrna_strict,HMCN1
robust_mrna_strict,CSF3R
robust_mrna_strict,PDE7B
robust_mrna_strict,GRASP
robust_mrna_strict,F2RL3
robust_mrna_strict,ANK2
robust_mrna_strict,HSPA4L
robust_mrna_strict,MFSD2A
robust_mrna_strict,S1PR1
robust_mrna_strict,HPSE2
robust_mrna_strict,DUOX1
robust_mrna_strict,CRISPLD1
robust_mrna_strict,ITGB8
robust_mrna_strict,LRRC32
robust_mrna_strict,WDR49
robust_mrna_strict,HDC
robust_mrna_strict,MAP1A
robust_mrna_strict,ACTG2
robust_mrna_strict,CTSK
robust_mrna_strict,MT1M
robust_mrna_strict,SLCO2A1
robust_mrna_strict,CDHR3
robust_mrna_strict,MNS1
robust_mrna_strict,RPGRIP1L
robust_mrna_strict,ZBTB16
robust_mrna_strict,MYH11
robust_mrna_strict,C20ORF85
robust_mrna_strict,TMEM232
robust_mrna_strict,C1ORF194
robust_mrna_strict,C11ORF88
robust_mrna_strict,PACRG
robust_mrna_strict,IQCG
robust_mrna_strict,TTC25
robust_mrna_strict,LRRC46
robust_mrna_strict,SLC44A4
robust_mrna_strict,TEKT1
robust_mrna_strict,AGBL2
robust_mrna_strict,SCGB3A1
robust_mrna_strict,CCDC60
robust_mrna_strict,WDR66
robust_mrna_strict,MORN5
robust_mrna_strict,ALOX15
robust_mrna_strict,CCDC17
robust_mrna_strict,AK7
robust_mrna_strict,CWH43
robust_mrna_strict,MUC16
robust_mrna_strict,LPPR4
robust_mrna_strict,PTCHD4
robust_mrna_strict,MXRA5
robust_mrna_strict,UBXN10
robust_mrna_strict,TEX9
robust_mrna_strict,SERPIND1
robust_mrna_strict,IGJ
robust_mrna_strict,CPA3
robust_mrna_strict,SOX2
robust_mrna_strict,WDR96
robust_mrna_strict,MT1JP
robust_mrna_strict,PPAP2C
robust_mrna_strict,WDR16
robust_mrna_strict,C6ORF165
robust_mrna_strict,CCDC11
robust_mrna_strict,NEK5
robust_mrna_strict,WDR65
robust_mrna_strict,SERPINB5
robust_mrna_strict,C11ORF70
robust_mrna_strict,HAS2
robust_mrna_strict,CLCA2
robust_mrna_strict,C1ORF110
robust_mrna_strict,PIP
robust_mrna_strict,RGCC
robust_mrna_strict,UGT1A1
robust_mrna_strict,CCDC170
robust_mrna_strict,MS4A8
robust_mrna_strict,ERICH3
robust_mrna_strict,PLEKHS1
robust_mrna_strict,PLEKHG7
robust_mrna_strict,MROH9
robust_mrna_strict,CCDC173
robust_mrna_strict,DRC1
robust_mrna_strict,MAP3K19
robust_mrna_strict,RSPH10B2
robust_mrna_strict,SLCO4A1
robust_mrna_strict,IL18RAP
robust_mrna_strict,IL18R1
robust_mrna_strict,C12ORF75
robust_mrna_strict,CLEC4E
robust_mrna_strict,SCN1A
robust_mrna_strict,IL1RL1
robust_mrna_strict,SERPINI2
robust_mrna_strict,DES
robust_mrna_strict,CCL18
robust_mrna_strict,CAPS
robust_mrna_strict,ROPN1L
robust_mrna_strict,PGC
robust_mrna_strict,S100A12
robust_mrna_up,ASPN
robust_mrna_up,COL14A1
robust_mrna_up,CDH3
robust_mrna_up,LRRC17
robust_mrna_up,CD24
robust_mrna_up,CFH
robust_mrna_up,DIO2
robust_mrna_up,DCLK1
robust_mrna_up,CXCL14
robust_mrna_up,MMP7
robust_mrna_up,COL1A1
robust_mrna_up,LRRN1
robust_mrna_up,GOLM1
robust_mrna_up,CDH2
robust_mrna_up,LTBP1
robust_mrna_up,COL17A1
robust_mrna_up,CP
robust_mrna_up,SULF1
robust_mrna_up,COL3A1
robust_mrna_up,IL13RA2
robust_mrna_up,SPATA18
robust_mrna_up,TP63
robust_mrna_up,SYNPO2
robust_mrna_up,KRT5
robust_mrna_up,CLDN1
robust_mrna_up,COL1A2
robust_mrna_up,CCDC80
robust_mrna_up,SFRP4
robust_mrna_up,FAP
robust_mrna_up,TDO2
robust_mrna_up,POSTN
robust_mrna_up,CLIC6
robust_mrna_up,TMEM45A
robust_mrna_up,COL6A3
robust_mrna_up,SLAMF7
robust_mrna_up,TNC
robust_mrna_up,TMPRSS4
robust_mrna_up,ZNF385D
robust_mrna_up,KRT15
robust_mrna_up,VCAM1
robust_mrna_up,BPIFB1
robust_mrna_up,VSIG1
robust_mrna_up,PROM1
robust_mrna_up,CYP24A1
robust_mrna_up,VTCN1
robust_mrna_up,MUC5B
robust_mrna_up,ABCA13
robust_mrna_up,MUC4
robust_mrna_up,CXCL13
robust_mrna_up,IGF1
robust_mrna_up,SPP1
robust_mrna_up,FAM81B
robust_mrna_up,DNAH5
robust_mrna_up,MSMB
robust_mrna_up,FNDC1
robust_mrna_up,KLHL13
robust_mrna_up,PTGFRN
robust_mrna_up,THY1
robust_mrna_up,CNTN3
robust_mrna_up,COL15A1
robust_mrna_up,PCDH7
robust_mrna_up,TRIM2
robust_mrna_up,OGN
robust_mrna_up,COMP
robust_mrna_up,PAMR1
robust_mrna_up,HHLA2
robust_mrna_up,CCL13
robust_mrna_up,TGFB3
robust_mrna_up,GPX8
robust_mrna_up,GEM
robust_mrna_up,PRUNE2
robust_mrna_up,SIX4
robust_mrna_up,DTHD1
robust_mrna_up,DNAH6
robust_mrna_up,CCDC146
robust_mrna_up,HYDIN
robust_mrna_up,RGS22
robust_mrna_up,NELL2
robust_mrna_up,TRIM29
robust_mrna_up,SPATA17
robust_mrna_up,EFHC2
robust_mrna_up,FAM83D
robust_mrna_up,TSPAN1
robust_mrna_up,DNAH7
robust_mrna_up,SPAG6
robust_mrna_up,LRRIQ1
robust_mrna_up,WDR63
robust_mrna_up,SLN
robust_mrna_up,GSTA1
robust_mrna_up,SIX1
robust_mrna_up,ST6GALNAC1
robust_mrna_up,SNTN
robust_mrna_up,AMPD1
robust_mrna_up,DNAH12
robust_mrna_up,CHST9
robust_mrna_up,EFCAB1
robust_mrna_up,DSC3
robust_mrna_up,RSPH1
robust_mrna_up,CCDC113
robust_mrna_up,ARMC3
robust_mrna_up,NEK10
robust_mrna_up,DNAH9
robust_mrna_up,DNAH10
robust_mrna_up,SLC27A2
robust_mrna_up,CASC1
robust_mrna_up,ARMC4
robust_mrna_up,ENKUR
robust_mrna_up,IQUB
robust_mrna_up,STOML3
robust_mrna_up,VWA3B
robust_mrna_up,DNAAF1
robust_mrna_up,CAPSL
robust_mrna_up,C9ORF135
robust_mrna_up,RSPH4A
robust_mrna_up,MDH1B
robust_mrna_up,C6
robust_mrna_up,DCDC1
robust_mrna_up,C6ORF118
robust_mrna_up,DNAH3
robust_mrna_up,DNAI1
robust_mrna_up,CAPN13
robust_mrna_up,STOX1
robust_mrna_up,PIH1D2
robust_mrna_up,ADH7
robust_mrna_up,BPIFA1
robust_mrna_up,SFRP2
robust_mrna_up,EPHA3
robust_mrna_up,MMP13
robust_mrna_up,FAM216B
robust_mrna_up,PLN
robust_mrna_up,MMP1
robust_mrna_up,EFCAB10
robust_mrna_up,SERPINB3
robust_mrna_up,ZBBX
robust_mrna_up,FANK1
robust_mrna_up,SPAG17
robust_mrna_up,ADGB
robust_mrna_up,PSD3
robust_mrna_up,SYTL2
robust_mrna_up,HMCN1
robust_mrna_up,PDE7B
robust_mrna_up,ANK2
robust_mrna_up,HSPA4L
robust_mrna_up,HPSE2
robust_mrna_up,CRISPLD1
robust_mrna_up,ITGB8
robust_mrna_up,WDR49
robust_mrna_up,HDC
robust_mrna_up,MAP1A
robust_mrna_up,ACTG2
robust_mrna_up,CTSK
robust_mrna_up,CDHR3
robust_mrna_up,MNS1
robust_mrna_up,RPGRIP1L
robust_mrna_up,MYH11
robust_mrna_up,C20ORF85
robust_mrna_up,TMEM232
robust_mrna_up,C1ORF194
robust_mrna_up,C11ORF88
robust_mrna_up,PACRG
robust_mrna_up,IQCG
robust_mrna_up,TTC25
robust_mrna_up,LRRC46
robust_mrna_up,SLC44A4
robust_mrna_up,TEKT1
robust_mrna_up,AGBL2
robust_mrna_up,SCGB3A1
robust_mrna_up,CCDC60
robust_mrna_up,WDR66
robust_mrna_up,MORN5
robust_mrna_up,ALOX15
robust_mrna_up,CCDC17
robust_mrna_up,AK7
robust_mrna_up,CWH43
robust_mrna_up,MUC16
robust_mrna_up,LPPR4
robust_mrna_up,PTCHD4
robust_mrna_up,MXRA5
robust_mrna_up,UBXN10
robust_mrna_up,TEX9
robust_mrna_up,SERPIND1
robust_mrna_up,IGJ
robust_mrna_up,CPA3
robust_mrna_up,SOX2
robust_mrna_up,WDR96
robust_mrna_up,PPAP2C
robust_mrna_up,WDR16
robust_mrna_up,C6ORF165
robust_mrna_up,CCDC11
robust_mrna_up,NEK5
robust_mrna_up,WDR65
robust_mrna_up,SERPINB5
robust_mrna_up,C11ORF70
robust_mrna_up,HAS2
robust_mrna_up,CLCA2
robust_mrna_up,C1ORF110
robust_mrna_up,PIP
robust_mrna_up,UGT1A1
robust_mrna_up,CCDC170
robust_mrna_up,MS4A8
robust_mrna_up,ERICH3
robust_mrna_up,PLEKHS1
robust_mrna_up,PLEKHG7
robust_mrna_up,MROH9
robust_mrna_up,CCDC173
robust_mrna_up,DRC1
robust_mrna_up,MAP3K19
robust_mrna_up,RSPH10B2
robust_mrna_up,C12ORF75
robust_mrna_up,SERPINI2
robust_mrna_up,DES
robust_mrna_up,CCL18
robust_mrna_up,CAPS
robust_mrna_up,ROPN1L
robust_mrna_down,NECAB1
robust_mrna_down,ID1
robust_mrna_down,PAPSS2
robust_mrna_down,BTNL9
robust_mrna_down,HIF3A
robust_mrna_down,FCN3
robust_mrna_down,CRTAC1
robust_mrna_down,ITLN2
robust_mrna_down,INMT
robust_mrna_down,TMEM100
robust_mrna_down,SMAD6
robust_mrna_down,VIPR1
robust_mrna_down,PEBP4
robust_mrna_down,PLA2G1B
robust_mrna_down,SLC19A3
robust_mrna_down,PLA2G4F
robust_mrna_down,HHIP
robust_mrna_down,HSD17B6
robust_mrna_down,CACNA2D2
robust_mrna_down,SLC6A4
robust_mrna_down,RTKN2
robust_mrna_down,GPX3
robust_mrna_down,NPR1
robust_mrna_down,PLLP
robust_mrna_down,FMO5
robust_mrna_down,ACVRL1
robust_mrna_down,AFF3
robust_mrna_down,PTPRB
robust_mrna_down,FIBIN
robust_mrna_down,ZNF385B
robust_mrna_down,ABCA3
robust_mrna_down,SLC39A8
robust_mrna_down,MS4A15
robust_mrna_down,LRRN4
robust_mrna_down,SFTA2
robust_mrna_down,RXFP1
robust_mrna_down,ACADL
robust_mrna_down,AGER
robust_mrna_down,MME
robust_mrna_down,GRIA1
