gene_set,database,input_entrez_count,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory,significant
robust_mrna_up,GO_BP,188,GO:0003341,cilium movement,27/158,113/7416,0.238938053097345,11.2149658339868,16.1436275367313,1.40022849559292e-21,5.85155488308283e-18,5.85155488308283e-18,LRRC46/RSPH4A/DNAH9/DRC1/SPAG6/DNAH7/DNAH5/DNAH6/DNAH3/ROPN1L/IQUB/ENKUR/RSPH1/TEKT1/DNAI1/DNAH12/HYDIN/EFHC2/CCDC146/ARMC3/TMEM232/MNS1/NEK10/PACRG/DNAAF1/DNAH10/SPAG17,27,,,TRUE
robust_mrna_up,GO_BP,188,GO:0060294,cilium movement involved in cell motility,22/158,98/7416,0.224489795918367,10.5368121932317,14.0215396602509,4.31110945611356e-17,7.16344311144305e-14,7.16344311144305e-14,LRRC46/RSPH4A/DNAH9/DRC1/DNAH7/DNAH5/DNAH6/DNAH3/ROPN1L/IQUB/ENKUR/RSPH1/TEKT1/DNAI1/DNAH12/EFHC2/CCDC146/ARMC3/TMEM232/MNS1/PACRG/DNAH10,22,,,TRUE
robust_mrna_up,GO_BP,188,GO:0001539,cilium or flagellum-dependent cell motility,22/158,100/7416,0.22,10.3260759493671,13.8528055697966,6.85660982191246e-17,7.16344311144305e-14,7.16344311144305e-14,LRRC46/RSPH4A/DNAH9/DRC1/DNAH7/DNAH5/DNAH6/DNAH3/ROPN1L/IQUB/ENKUR/RSPH1/TEKT1/DNAI1/DNAH12/EFHC2/CCDC146/ARMC3/TMEM232/MNS1/PACRG/DNAH10,22,,,TRUE
robust_mrna_up,GO_BP,188,GO:0060285,cilium-dependent cell motility,22/158,100/7416,0.22,10.3260759493671,13.8528055697966,6.85660982191246e-17,7.16344311144305e-14,7.16344311144305e-14,LRRC46/RSPH4A/DNAH9/DRC1/DNAH7/DNAH5/DNAH6/DNAH3/ROPN1L/IQUB/ENKUR/RSPH1/TEKT1/DNAI1/DNAH12/EFHC2/CCDC146/ARMC3/TMEM232/MNS1/PACRG/DNAH10,22,,,TRUE
robust_mrna_up,GO_BP,188,GO:0007018,microtubule-based movement,28/158,215/7416,0.130232558139535,6.11268766558728,11.2240017616383,5.42613570954063e-15,4.53516422603405e-12,4.53516422603405e-12,LRRC46/RSPH4A/DNAH9/DRC1/SPAG6/DNAH7/DNAH5/DNAH6/DNAH3/ROPN1L/IQUB/ENKUR/RSPH1/TEKT1/DNAI1/MAP1A/DNAH12/HYDIN/EFHC2/CCDC146/ARMC3/TMEM232/MNS1/NEK10/PACRG/DNAAF1/DNAH10/SPAG17,28,,,TRUE
robust_mrna_up,GO_BP,188,GO:0035082,axoneme assembly,13/158,42/7416,0.30952380952381,14.5280289330922,12.9712921575435,1.69906989908364e-12,9.48587426209398e-10,9.48587426209398e-10,RSPH4A/DRC1/DNAH7/DNAH5/DNAH3/RSPH1/DNAI1/DNAH12/HYDIN/CCDC146/MNS1/DNAAF1/SPAG17,13,,,TRUE
robust_mrna_up,GO_BP,188,GO:0030317,flagellated sperm motility,17/158,86/7416,0.197674418604651,9.27818663526641,11.3922128608155,1.81591275656262e-12,9.48587426209398e-10,9.48587426209398e-10,LRRC46/DRC1/DNAH5/DNAH3/ROPN1L/IQUB/ENKUR/RSPH1/TEKT1/DNAI1/DNAH12/EFHC2/CCDC146/ARMC3/TMEM232/MNS1/PACRG,17,,,TRUE
robust_mrna_up,GO_BP,188,GO:0097722,sperm motility,17/158,86/7416,0.197674418604651,9.27818663526641,11.3922128608155,1.81591275656262e-12,9.48587426209398e-10,9.48587426209398e-10,LRRC46/DRC1/DNAH5/DNAH3/ROPN1L/IQUB/ENKUR/RSPH1/TEKT1/DNAI1/DNAH12/EFHC2/CCDC146/ARMC3/TMEM232/MNS1/PACRG,17,,,TRUE
robust_mrna_up,GO_BP,188,GO:0001578,microtubule bundle formation,13/158,54/7416,0.240740740740741,11.2995780590717,11.2071206150181,5.91853366901654e-11,2.74817246698001e-08,2.74817246698001e-08,RSPH4A/DRC1/DNAH7/DNAH5/DNAH3/RSPH1/DNAI1/DNAH12/HYDIN/CCDC146/MNS1/DNAAF1/SPAG17,13,,,TRUE
robust_mrna_up,GO_BP,188,GO:0007286,spermatid development,11/158,52/7416,0.211538461538462,9.92891918208374,9.53277435501364,8.24264840937887e-09,3.29463161244653e-06,3.29463161244653e-06,LRRC46/DNAH3/ROPN1L/ADGB/PLN/RSPH1/DNAH12/CCDC146/ARMC3/MNS1/SPAG17,11,,,TRUE
