gene_symbol,module,module_membership_kME,in_robust_mrna,in_ml_panel,in_priority_top80,is_tnik
ITLN1,M01,0.6117735747343495,False,False,False,False
MFAP5,M01,0.6322185213781776,False,False,False,False
PLA2G2A,M01,0.8145133493739943,False,False,False,False
LYVE1,M01,0.6574074746677657,False,False,False,False
PRG4,M01,0.5503065107172566,False,False,False,False
CA3,M01,0.5632422798598957,False,False,False,False
H19,M01,0.5342099343856117,False,False,False,False
SFRP1,M01,0.7407956711935696,False,False,False,False
UPK1B,M01,0.5638890314168483,False,False,False,False
MMRN1,M01,0.5648130197886038,False,False,False,False
TFPI2,M01,0.4504361702402536,False,False,False,False
APOD,M01,0.3989512962596132,False,False,False,False
ANGPTL1,M01,0.5434918275840791,False,False,False,False
C7,M01,0.7238269868660503,False,False,False,False
F13A1,M01,0.6427692938253882,False,False,False,False
WT1,M01,0.7199969202826012,False,False,False,False
PLTP,M01,0.5814733414438812,False,False,False,False
PDGFD,M01,0.7172291251018378,False,False,False,False
RSPO3,M01,0.7240179502454187,False,False,False,False
PTGIS,M01,0.7666134490058646,False,False,False,False
CPA4,M01,0.6099855138952749,False,False,False,False
BPIFB1,M02,0.8849333634153206,True,False,False,False
DDX3Y,M02,0.1767647612608048,False,False,False,False
BPIFA1,M02,0.7152439848348049,True,False,False,False
UTY,M02,0.18039265859652287,False,False,False,False
MMP1,M02,0.7460747946756223,True,False,False,False
SPP1,M02,0.6704781772428013,True,False,True,False
ZBBX,M02,0.9566507365863438,True,False,False,False
EIF1AY,M02,0.1745506341815872,False,False,False,False
SNTN,M02,0.9517570522444944,True,False,False,False
PROM1,M02,0.9476217169207737,True,False,True,False
MS4A8,M02,0.9497182506660082,True,False,False,False
MMP7,M02,0.8136885895424362,True,False,True,False
CP,M02,0.9213704289424489,True,False,True,False
KRT5,M02,0.8940040142909603,True,False,True,False
KDM5D,M02,0.17152838318310504,False,False,False,False
USP9Y,M02,0.2225341078457521,False,False,False,False
FAM216B,M02,0.9573095237516556,True,False,False,False
CDHR3,M02,0.9542956523046611,True,False,False,False
WDR96,M02,0.9650432139729032,True,False,False,False
SCGB1A1,M02,0.7361449115985664,False,False,False,False
C1ORF194,M02,0.9403816642133358,True,False,False,False
EFCAB1,M02,0.9607711868368681,True,False,False,False
RPS4Y1,M02,0.15600155636537338,False,False,False,False
DNAH12,M02,0.9599507977894929,True,False,False,False
SPAG6,M02,0.9545155905741205,True,False,False,False
MSMB,M02,0.7305290321741056,True,False,False,False
IGKV1D-27,M02,0.5094353469184082,False,False,False,False
PLEKHS1,M02,0.952253423110551,True,False,False,False
DTHD1,M02,0.964935290477462,True,False,False,False
TMEM212,M02,0.9458174715448044,False,False,False,False
ASPN,M02,0.5921136719417599,True,True,True,False
DNAAF1,M02,0.9402882905359187,True,False,False,False
ENKUR,M02,0.9601989845511407,True,False,False,False
TMEM232,M02,0.9506426655962541,True,False,False,False
CHDC2,M02,0.9510444954725118,False,False,False,False
TSPAN1,M02,0.9445366808211647,True,False,False,False
TXLNGY,M02,0.22657771322287748,False,False,False,False
ARMC3,M02,0.9676478004683321,True,False,False,False
IGKV2D-28,M02,0.5354728290335874,False,False,False,False
RSPH10B2,M02,0.9531044419768804,True,False,False,False
MUC5B,M02,0.8558441774725826,True,False,True,False
IGKV2D-26,M02,0.5094317176522493,False,False,False,False
STOML3,M02,0.9512073235143139,True,False,False,False
VSIG1,M02,0.2066336096939776,True,False,False,False
LRRIQ1,M02,0.966737900273182,True,False,False,False
C20ORF85,M02,0.9476729283279651,True,False,False,False
FAM154B,M02,0.9587359379763555,False,False,False,False
DNAH6,M02,0.9658990462506667,True,False,False,False
DNAH10,M02,0.959778678986597,True,False,False,False
LRRC46,M02,0.9522466054998504,True,False,False,False
WDR49,M02,0.9515571801559158,True,False,False,False
RSPH4A,M02,0.9594440414516284,True,False,True,False
DSC3,M02,0.8626128492275178,True,False,False,False
SFRP2,M02,0.5954408216330244,True,False,False,False
HSD17B13,M02,0.5478396838135573,False,False,False,False
IGKV1OR2-3,M02,0.5216296125681534,False,False,False,False
IGHV4-59,M02,0.5659079549321593,False,False,False,False
IGHV1OR15-1,M02,0.44026977598997796,False,False,False,False
ERICH3,M02,0.9658567914221395,True,False,False,False
SLC27A2,M02,0.8746481221388877,True,False,False,False
SERPINB3,M02,0.7596976819861231,True,False,False,False
C12ORF55,M02,0.9521199516522312,False,False,False,False
IGKV3D-11,M02,0.5379025775496662,False,False,False,False
CCDC146,M02,0.9708168634064117,True,False,False,False
SPAG17,M02,0.9627972853666714,True,False,True,False
SPATA18,M02,0.9706122285504586,True,False,True,False
HYDIN,M02,0.9583352710878299,True,False,False,False
GSTA1,M02,0.9390707072433188,True,False,False,False
DNAH9,M02,0.9618970682776351,True,False,False,False
IGKV6-21,M02,0.4615546840110048,False,False,False,False
ZFY,M02,0.15345174064531322,False,False,False,False
TEKT1,M02,0.9521581694749027,True,False,True,False
CCDC11,M02,0.962109004483205,True,False,False,False
DNAH3,M02,0.9606016239463245,True,False,False,False
C1ORF192,M02,0.951731936992989,False,False,False,False
ALOX15,M02,0.8704759542013303,True,False,False,False
WDR78,M02,0.9680975233446011,False,False,False,False
C11ORF88,M02,0.947825848857956,True,False,False,False
CYP24A1,M02,0.8270432034440891,True,False,True,False
LOC642131,M02,0.5367136924979724,False,False,False,False
IGKV3D-20,M02,0.5427940983461383,False,False,False,False
LRRC48,M02,0.9547400768629811,False,False,False,False
DNAH11,M02,0.945460492708436,False,False,False,False
ROPN1L,M02,0.9292805151700212,True,False,False,False
C6,M02,0.9436696951918724,True,False,True,False
ABCA13,M02,0.8968387763047067,True,False,False,False
C6ORF165,M02,0.9687205807420809,True,False,False,False
SCGB3A2,M02,0.6368611153737775,False,False,False,False
TDO2,M02,0.23659116681500808,True,False,True,False
CD24,M02,0.858937731174418,True,True,True,False
IGHV3-73,M02,0.544526770572491,False,False,False,False
ARMC4,M02,0.9626844841264189,True,False,True,False
IGKV1D-43,M02,0.5540099577620687,False,False,False,False
