module,module_size,trait,pearson_r,p_value,fdr
M01,21,IPF_status,0.09578681420182028,0.21540569413682512,0.33139337559511556
M01,21,macrophage_myeloid,-0.129786057429535,0.09260421864539531,0.16837130662799146
M01,21,t_cell,-0.05497873237976232,0.4777312736258603,0.5909287624942585
M01,21,b_cell,0.29652135323094564,9.056299164907819e-05,0.00032931996963301164
M01,21,fibroblast_matrix,0.44643987764923526,1.1741754029963654e-09,7.22569478766994e-09
M01,21,epithelial_ciliary,-0.08046855183523989,0.2983329627021485,0.4187129301082786
M01,21,endothelial,0.023745089326816925,0.7592708845945679,0.8208333887508843
M01,21,wnt_tnik_axis,-0.10393612957050279,0.17869409910874798,0.2859105585739968
M02,705,IPF_status,0.6563355213058848,3.432420302086682e-22,3.922766059527637e-21
M02,705,macrophage_myeloid,-0.48081515163655064,3.681256852743903e-11,2.677277711086475e-10
M02,705,t_cell,-0.31685074520810214,2.7029740601747817e-05,0.00010811896240699127
M02,705,b_cell,0.4217883136854306,1.121099650475972e-08,5.979198135871851e-08
M02,705,fibroblast_matrix,0.4614238618923325,2.721088220310861e-10,1.8140588135405738e-09
M02,705,epithelial_ciliary,0.91813212090535,4.919102708324952e-69,3.9352821666599614e-67
M02,705,endothelial,-0.7614337061814967,2.9285395379271215e-33,7.809438767805658e-32
M02,705,wnt_tnik_axis,-0.10421780042752725,0.1775133176020478,0.2859105585739968
M03,30,IPF_status,0.24000756191705824,0.001672191513176235,0.004612942105313751
M03,30,macrophage_myeloid,0.007047431154075142,0.927542032548167,0.960161776568319
M03,30,t_cell,0.04238641922676167,0.5842551440279736,0.6959057410805086
M03,30,b_cell,0.24799991166394614,0.0011499520301732086,0.003407265274587285
M03,30,fibroblast_matrix,0.060926446176612505,0.43134225869194964,0.5565706563767092
M03,30,epithelial_ciliary,0.15995664644776145,0.03776477670367784,0.07552955340735568
M03,30,endothelial,-0.2096329430051453,0.006229217868030978,0.015573044670077446
M03,30,wnt_tnik_axis,-0.20041735546007378,0.008984277254594096,0.020535490867643648
M04,43,IPF_status,0.2909012407345784,0.00012456434919882106,0.0004332673015611167
M04,43,macrophage_myeloid,0.041570275754774906,0.5915198799184324,0.6959057410805086
M04,43,t_cell,0.13572819581060172,0.07848877210349214,0.14602562251812493
M04,43,b_cell,0.2467561675577156,0.0012199140614167219,0.0034854687469049192
M04,43,fibroblast_matrix,0.310356966755482,4.015848413898016e-05,0.00015298470148182916
M04,43,epithelial_ciliary,0.23532199023200578,0.002071044556428842,0.005522785483810245
M04,43,endothelial,-0.2557986164176792,0.0007887118235161118,0.0024268056108188055
M04,43,wnt_tnik_axis,0.16272179928039443,0.034532982999660435,0.07083688820443165
M05,1,IPF_status,0.015402829165995943,0.8424485598546171,0.8986117971782583
M05,1,macrophage_myeloid,-0.08616076384134008,0.26534370323244005,0.39310178256657785
M05,1,t_cell,-0.1960348730764642,0.01063790664633591,0.023639792547413132
M05,1,b_cell,-0.03846358428626269,0.619542166466764,0.7080481902477302
M05,1,fibroblast_matrix,0.12295977152615344,0.11123576736658532,0.18933747636865586
