series_id,group,broad_celltype,fine_celltype,gene_symbol,cells,mean_norm_count_per_10k,log1p_mean_norm,detected_cells,detection_fraction
GSE135893,Control,Epithelial,AT2,CCL2,4393,0.11960946395460224,0.11297993160182232,176,0.04006373776462554
GSE135893,Control,Epithelial,AT2,CCR2,4393,0.0002948256361386415,0.0002947821836011841,1,0.00022763487366264513
GSE135893,Control,Epithelial,AT2,CD24,4393,0.12300807331829333,0.11601086479394965,255,0.058046892783974506
GSE135893,Control,Epithelial,AT2,CD44,4393,2.343675545997155,1.2070706647966016,3680,0.837696335078534
GSE135893,Control,Epithelial,AT2,CD74,4393,25.023107551240056,3.2589848952860674,4372,0.9952196676530844
GSE135893,Control,Epithelial,AT2,CDH3,4393,0.03558513748237197,0.03496661719161525,169,0.038470293648987026
GSE135893,Control,Epithelial,AT2,COL14A1,4393,0.0009724760253764247,0.0009720034769030183,3,0.0006829046209879354
GSE135893,Control,Epithelial,AT2,COL1A1,4393,0.08163457295342441,0.07847339043459532,360,0.08194855451855224
GSE135893,Control,Epithelial,AT2,COL3A1,4393,0.007262718520357151,0.007236471984389944,12,0.0027316184839517414
GSE135893,Control,Epithelial,AT2,CTNNB1,4393,0.5820227093467765,0.45870422407604594,2009,0.45731846118825403
GSE135893,Control,Epithelial,AT2,CXCL12,4393,0.0005327284663296164,0.0005325866168961157,1,0.00022763487366264513
GSE135893,Control,Epithelial,AT2,CXCR4,4393,0.015866129469383466,0.015741578141587328,72,0.01638971090371045
GSE135893,Control,Epithelial,AT2,FZD1,4393,0.0518267546532724,0.05052841886544266,260,0.05918506715228773
GSE135893,Control,Epithelial,AT2,FZD2,4393,0.00033296354575942114,0.00033290812569958397,2,0.00045526974732529026
GSE135893,Control,Epithelial,AT2,FZD5,4393,0.3530601679488227,0.30236881822858236,1390,0.3164124743910767
GSE135893,Control,Epithelial,AT2,IL1B,4393,0.008840073418731118,0.008801228728462701,33,0.007511950830867289
GSE135893,Control,Epithelial,AT2,IL1R1,4393,0.46659247799992315,0.38294166779486294,1631,0.3712724789437742
GSE135893,Control,Epithelial,AT2,ITGA1,4393,0.041607841484445296,0.04076552075070931,193,0.04393353061689051
GSE135893,Control,Epithelial,AT2,ITGA2,4393,0.01727339472448979,0.017125905644049474,74,0.016844980651035738
GSE135893,Control,Epithelial,AT2,ITGA4,4393,0.0038901930239524474,0.003882645790202452,18,0.004097427725927612
GSE135893,Control,Epithelial,AT2,ITGAV,4393,0.17048640270307194,0.1574193912244318,779,0.17732756658320054
GSE135893,Control,Epithelial,AT2,ITGB1,4393,1.0972551339155538,0.7406294106685821,2898,0.6596858638743456
GSE135893,Control,Epithelial,AT2,LEF1,4393,9.09775283412514e-05,9.097339013690702e-05,1,0.00022763487366264513
GSE135893,Control,Epithelial,AT2,LRP6,4393,0.4386456485783682,0.36370214919916566,1646,0.37468700204871386
GSE135893,Control,Epithelial,AT2,MIF,4393,7.1129216290871105,2.093458053448498,4129,0.9399043933530616
GSE135893,Control,Epithelial,AT2,POSTN,4393,0.00046766598611941977,0.0004675566644648182,2,0.00045526974732529026
GSE135893,Control,Epithelial,AT2,PTGFRN,4393,0.06076171353772461,0.058987247733387524,297,0.0676075574778056
GSE135893,Control,Epithelial,AT2,SPP1,4393,0.014393600546045202,0.014290996070953849,14,0.0031868882312770315
GSE135893,Control,Epithelial,AT2,TCF7L2,4393,0.1627821841369197,0.15081556806553123,772,0.17573412246756204
GSE135893,Control,Epithelial,AT2,TGFB1,4393,0.024567826590190325,0.024270891083419663,120,0.027316184839517414
GSE135893,Control,Epithelial,AT2,TGFBR1,4393,0.07673208157552988,0.07393060360212803,377,0.08581834737081721
GSE135893,Control,Epithelial,AT2,TGFBR2,4393,1.4325309670695725,0.8889322655497436,3158,0.7188709310266332
GSE135893,Control,Epithelial,AT2,TNF,4393,0.0005340389517760995,0.0005338964037236428,3,0.0006829046209879354
GSE135893,Control,Epithelial,AT2,TNFRSF12A,4393,0.6770898910557823,0.5170600837037341,1968,0.4479854313680856
GSE135893,Control,Epithelial,AT2,TNFRSF1A,4393,0.6194719631534117,0.48210014744074514,2061,0.4691554746187116
GSE135893,Control,Epithelial,AT2,TNFSF12,4393,0.0933424671529129,0.08923948779632135,493,0.11222399271568405
GSE135893,Control,Epithelial,AT2,TNIK,4393,0.47266444798588875,0.3870733097550426,1722,0.3919872524470749
GSE135893,Control,Epithelial,AT2,WNT5A,4393,0.09967859109373829,0.09501794719375128,445,0.10129751877987708
GSE135893,Control,Epithelial,AT2,WNT7B,4393,0.15738512634089025,0.14616325915131076,750,0.17072615524698384
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CCL2,79,0.4933714305841149,0.40103626898523265,15,0.189873417721519
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CCR2,79,0.0,0.0,0,0.0
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CD24,79,0.19964047726054598,0.18202190962134607,10,0.12658227848101267
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CD44,79,1.6330180171913238,0.9681307233283309,63,0.7974683544303798
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CD74,79,20.579436467940297,3.0717408458625295,75,0.9493670886075949
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CDH3,79,0.16358285326456823,0.15150391159407486,10,0.12658227848101267
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,COL14A1,79,0.0,0.0,0,0.0
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,COL1A1,79,0.16207955397530013,0.1502111190598172,9,0.11392405063291139
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,COL3A1,79,0.0,0.0,0,0.0
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CTNNB1,79,0.6343101542109076,0.4912207912842024,39,0.4936708860759494
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CXCL12,79,0.11577748480151391,0.10955145770044085,2,0.02531645569620253
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,CXCR4,79,0.0710742862806911,0.06866215066682772,2,0.02531645569620253
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,FZD1,79,0.12527118875220614,0.11802406327552067,17,0.21518987341772153
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,FZD2,79,0.0,0.0,0,0.0
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,FZD5,79,0.3822307949497659,0.3236987120896559,28,0.35443037974683544
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,IL1B,79,0.0,0.0,0,0.0
GSE135893,Control,Epithelial,Proliferating Epithelial Cells,IL1R1,79,0.22777203530285448,0.20520117348770783,22,0.27848101265822783
