series_id,sender_celltype,receiver_celltype,ligand,receptor,pair,pathway,ipf_interaction_score,control_interaction_score,ipf_minus_control_interaction_score,interaction_log2_ratio
GSE135893,Endothelial,Immune,MIF,CD74,MIF-CD74,MIF inflammatory signaling,9.619243076982936,7.424659443637706,2.19458363334523,0.3731557381724555
GSE135893,Endothelial,Endothelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,7.612231942309084,5.608214477021177,2.004017465287907,0.4401018087789499
GSE135893,Epithelial,Immune,MIF,CD74,MIF-CD74,MIF inflammatory signaling,10.771678408074125,8.93612715171203,1.8355512563620948,0.2692466144568903
GSE135893,Epithelial,Endothelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,8.524216905010475,6.749901196300428,1.7743157087100467,0.33625661841198473
GSE135893,Mesenchymal,Mesenchymal,COL14A1,ITGB1,COL14A1-ITGB1,collagen-integrin matrix remodeling,3.2033050436902375,1.4850210349107202,1.7182840087795173,1.1038921611836778
GSE135893,Mesenchymal,Immune,CXCL12,CXCR4,CXCL12-CXCR4,chemokine recruitment,2.681349575512749,1.1830231449088964,1.4983264306038526,1.1737077608236155
GSE135893,Endothelial,Mesenchymal,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,2.195385238662242,0.8097721704550324,1.3856130682072094,1.4277357696064104
GSE135893,Immune,Mesenchymal,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,1.8851340296755552,0.5395117350453335,1.3456222946302216,1.7860776878586828
GSE135893,Endothelial,Epithelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,6.960675461733248,5.646013827929393,1.3146616338038548,0.30151281341619574
GSE135893,Mesenchymal,Endothelial,COL14A1,ITGB1,COL14A1-ITGB1,collagen-integrin matrix remodeling,3.028887810605718,1.7725198443578853,1.2563679662478329,0.7696252766241027
GSE136831,Myeloid,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.607276773717736,0.3891447974122629,1.2181319763054732,2.0185824847558087
GSE135893,Immune,Endothelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,1.782490086321756,0.6439607481312882,1.1385293381904678,1.4546891895201866
GSE135893,Endothelial,Endothelial,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,2.0758483810544055,0.9665433739977924,1.109305007056613,1.094878263951055
GSE135893,Immune,Immune,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.5818103632733111,0.5169949616268581,1.064815401646453,1.5948073998568606
GSE136831,Stromal,Stromal,COL1A1,ITGA1,COL1A1-ITGA1,collagen-integrin matrix remodeling,2.646995725947374,1.5887799111053975,1.0582158148419767,0.7328245567873483
GSE135893,Immune,Endothelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,6.63971390270437,5.5892197040227405,1.0504941986816299,0.24806648133293346
GSE136831,Myeloid,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.3471883945467549,0.3218799599963723,1.0253084345503827,2.0318875760982755
GSE135893,Mesenchymal,Endothelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,7.990182408683945,6.983065435043458,1.0071169736404872,0.1941078898974612
GSE135893,Epithelial,Epithelial,MIF,CD74,MIF-CD74,MIF inflammatory signaling,7.794600570617893,6.795395512710786,0.9992050579071075,0.19764578879880557
GSE135893,Immune,Immune,MIF,CD74,MIF-CD74,MIF inflammatory signaling,8.390314756011287,7.399512452326936,0.990802303684351,0.18106477005869637
GSE135893,Endothelial,Immune,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,3.917096348760608,2.940810745148724,0.9762856036118839,0.4123515997856008
GSE136831,Stromal,Endothelial,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,2.1293162417227576,1.1674331652970609,0.9618830764256967,0.861504592455511
GSE136831,Stromal,Stromal,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,2.2778955094588444,1.3271987888235313,0.9506967206353132,0.7748072109162948
GSE135893,Mesenchymal,Epithelial,COL14A1,ITGB1,COL14A1-ITGB1,collagen-integrin matrix remodeling,1.7905562883169557,0.8406096413980485,0.9499466469189072,1.0818735885532096
GSE136831,Stromal,Epithelial,COL1A1,ITGA2,COL1A1-ITGA2,collagen-integrin matrix remodeling,1.5594983451367719,0.6228751135867238,0.9366232315500481,1.3103107645789531
GSE136831,Myeloid,Stromal,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,1.1522154592934042,0.23272544654590546,0.9194900127474988,2.2594802810320807
