candidate_mirna,target_gene,match_type,mirtarbase_mirnas,mirtarbase_ids,support_types,experiments,pmids,evidence_count,best_support_rank,mirna_discovery_logFC,mirna_discovery_adj_p,mirna_direction,mirna_validation_fdr_support_count,mirna_robust_score,mirna_validation_details,target_gene_symbol,mrna_discovery_logFC,mrna_discovery_adj_p,mrna_direction,mrna_validation_fdr_support_count,mrna_robust_score,mrna_validation_details,axis,axis_score,match_priority,axis_evidence_grade,recommended_manuscript_role,validation_requirement,axis_evidence_weight,sensitivity_layer,sensitivity_interpretation
hsa-miR-375,CLDN1,exact,hsa-miR-375,MIRT019768,Functional MTI (Weak),Microarray,20215506,1,10,-1.5199519354717,2.7550623237396902e-14,down,1,9.0,GSE21394:-0.723/FDR=0.0739; GSE27430:-1.1/FDR=0.0218,CLDN1,1.51826676470589,9.19195196331401e-21,up,4,29.0,GSE110147:1.19/FDR=0.000171; GSE150910:2.31/FDR=3.98e-13; GSE53845:2.34/FDR=7.91e-09; GSE92592:1.42/FDR=3.24e-05,hsa-miR-375 -> CLDN1,49.0,0,high_exact,main_text_prioritized_axis,validate target repression in IPF-relevant cells,1.0,relaxed_validated_axis_sensitivity,exact mature/source-name axes retained in main text
hsa-miR-375,MNS1,exact,hsa-miR-375,MIRT019835,Functional MTI (Weak),Microarray,20215506,1,10,-1.5199519354717,2.7550623237396902e-14,down,1,9.0,GSE21394:-0.723/FDR=0.0739; GSE27430:-1.1/FDR=0.0218,MNS1,1.47724088739496,5.3951314288224405e-17,up,2,17.0,GSE110147:1.7/FDR=7.49e-07; GSE150910:1.48/FDR=2.33e-05; GSE53845:0.791/FDR=0.16; GSE92592:0.951/FDR=0.0221,hsa-miR-375 -> MNS1,37.0,0,high_exact,main_text_prioritized_axis,validate target repression in IPF-relevant cells,1.0,relaxed_validated_axis_sensitivity,exact mature/source-name axes retained in main text
hsa-miR-375,RPGRIP1L,exact,hsa-miR-375,MIRT019863,Functional MTI (Weak),Microarray,20215506,1,10,-1.5199519354717,2.7550623237396902e-14,down,1,9.0,GSE21394:-0.723/FDR=0.0739; GSE27430:-1.1/FDR=0.0218,RPGRIP1L,1.11256908067227,1.8487546666404002e-16,up,2,17.0,GSE110147:2.18/FDR=2.52e-12; GSE150910:0.575/FDR=2.41e-09; GSE53845:0.648/FDR=0.036; GSE92592:1.06/FDR=0.000734,hsa-miR-375 -> RPGRIP1L,37.0,0,high_exact,main_text_prioritized_axis,validate target repression in IPF-relevant cells,1.0,relaxed_validated_axis_sensitivity,exact mature/source-name axes retained in main text
hsa-miR-92a,TP63,arm_agnostic,hsa-miR-92a-3p,MIRT004281,Functional MTI,Luciferase reporter assay//qRT-PCR//Western blot,19608627,1,20,-1.07152392264151,6.04998625818804e-07,down,1,9.0,GSE21394:-1.16/FDR=0.0362; GSE27430:-0.236/FDR=0.69,TP63,1.4472136907563,3.98086233811967e-22,up,4,29.0,GSE110147:1.33/FDR=1.41e-05; GSE150910:2.43/FDR=2.8e-12; GSE53845:2.58/FDR=6.57e-05; GSE92592:1.76/FDR=5.89e-05,hsa-miR-92a -> TP63,59.0,1,moderate_arm_agnostic_functional_assay,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.5,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30a,CDH2,arm_agnostic,hsa-miR-30a-5p,MIRT028671,Functional MTI (Weak),Proteomics,18668040,1,10,-1.39235319245283,1.97329730817415e-12,down,1,9.0,GSE21394:-2.04/FDR=0.00014; GSE27430:-0.659/FDR=0.335,CDH2,1.27819726386555,2.7680820186093e-25,up,4,29.0,GSE110147:1.55/FDR=1.47e-11; GSE150910:2.2/FDR=4.56e-19; GSE53845:1.35/FDR=3.51e-05; GSE92592:2.53/FDR=6.02e-07,hsa-miR-30a -> CDH2,49.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30a,LRRN1,arm_agnostic,hsa-miR-30a-5p,MIRT049961,Functional MTI (Weak),CLASH,23622248,1,10,-1.39235319245283,1.97329730817415e-12,down,1,9.0,GSE21394:-2.04/FDR=0.00014; GSE27430:-0.659/FDR=0.335,LRRN1,1.37045431596639,4.0012819453557297e-26,up,4,29.0,GSE110147:1.05/FDR=4.89e-07; GSE150910:1.49/FDR=2.52e-25; GSE53845:1.73/FDR=1.62e-07; GSE92592:1.88/FDR=1.89e-09,hsa-miR-30a -> LRRN1,49.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-92a,GOLM1,arm_agnostic,hsa-miR-92a-3p,MIRT049838,Functional MTI (Weak),CLASH,23622248,1,10,-1.07152392264151,6.04998625818804e-07,down,1,9.0,GSE21394:-1.16/FDR=0.0362; GSE27430:-0.236/FDR=0.69,GOLM1,1.1600600605042,2.18997308189993e-25,up,4,29.0,GSE110147:1.8/FDR=3.06e-13; GSE150910:1.3/FDR=1.2e-33; GSE53845:1.3/FDR=1.14e-07; GSE92592:1.28/FDR=7.7e-09,hsa-miR-92a -> GOLM1,49.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-92a,LTBP1,arm_agnostic,hsa-miR-92a-3p,MIRT049456,Functional MTI (Weak),CLASH,23622248,1,10,-1.07152392264151,6.04998625818804e-07,down,1,9.0,GSE21394:-1.16/FDR=0.0362; GSE27430:-0.236/FDR=0.69,LTBP1,1.04178810588236,2.99045371844606e-25,up,4,29.0,GSE110147:2.04/FDR=1.29e-18; GSE150910:1.18/FDR=4.98e-25; GSE53845:1.13/FDR=5e-06; GSE92592:1.65/FDR=1.91e-09,hsa-miR-92a -> LTBP1,49.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-141,CLDN1,arm_agnostic,hsa-miR-141-5p,MIRT659487,Functional MTI (Weak),HITS-CLIP,23824327,1,11,-1.01826355830189,1.11718273596449e-09,down,1,5.5,GSE21394:-2.14/FDR=0.000309; GSE27430:0.0678/FDR=0.942,CLDN1,1.51826676470589,9.19195196331401e-21,up,4,29.0,GSE110147:1.19/FDR=0.000171; GSE150910:2.31/FDR=3.98e-13; GSE53845:2.34/FDR=7.91e-09; GSE92592:1.42/FDR=3.24e-05,hsa-miR-141 -> CLDN1,46.5,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30a,C6,arm_agnostic,hsa-miR-30a-3p,MIRT615751,Functional MTI (Weak),HITS-CLIP,23824327,3,11,-1.39235319245283,1.97329730817415e-12,down,1,9.0,GSE21394:-2.04/FDR=0.00014; GSE27430:-0.659/FDR=0.335,C6,1.46683573277311,1.88197807814472e-12,up,3,23.0,GSE110147:2.49/FDR=2.64e-08; GSE150910:1.95/FDR=1.46e-12; GSE53845:0.474/FDR=0.507; GSE92592:1.54/FDR=0.00722,hsa-miR-30a -> C6,46.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
