model,fold_id,feature
lasso_logistic,1,ASPN
lasso_logistic,1,CDH3
lasso_logistic,1,COL14A1
lasso_logistic,1,CSF3R
lasso_logistic,1,FNDC1
lasso_logistic,1,GPX3
lasso_logistic,1,GRASP
lasso_logistic,1,HMCN1
lasso_logistic,1,KLHL13
lasso_logistic,1,NECAB1
lasso_logistic,1,PDE7B
lasso_logistic,1,PSD3
lasso_logistic,1,PTGFRN
lasso_logistic,1,SLCO4A1
lasso_logistic,1,SYTL2
lasso_logistic,2,ANK2
lasso_logistic,2,ASPN
lasso_logistic,2,C12ORF75
lasso_logistic,2,CD24
lasso_logistic,2,CDH3
lasso_logistic,2,CFH
lasso_logistic,2,COL14A1
lasso_logistic,2,COL15A1
lasso_logistic,2,COL3A1
lasso_logistic,2,CSF3R
lasso_logistic,2,CXCL14
lasso_logistic,2,DCLK1
lasso_logistic,2,DIO2
lasso_logistic,2,FNDC1
lasso_logistic,2,GPX3
lasso_logistic,2,GRASP
lasso_logistic,2,HMCN1
lasso_logistic,2,IL18R1
lasso_logistic,2,IL18RAP
lasso_logistic,2,KLHL13
lasso_logistic,2,LRRC17
lasso_logistic,2,MMP7
lasso_logistic,2,NECAB1
lasso_logistic,2,NPR1
lasso_logistic,2,PDE7B
lasso_logistic,2,PSD3
lasso_logistic,2,PTGFRN
lasso_logistic,2,SLCO4A1
lasso_logistic,2,SYTL2
lasso_logistic,2,THY1
lasso_logistic,3,ASPN
lasso_logistic,3,CD24
lasso_logistic,3,CDH3
lasso_logistic,3,COL14A1
lasso_logistic,3,CSF3R
lasso_logistic,3,FNDC1
lasso_logistic,3,GPX3
lasso_logistic,3,HMCN1
lasso_logistic,3,KLHL13
lasso_logistic,3,LRRC17
lasso_logistic,3,NECAB1
lasso_logistic,3,PSD3
lasso_logistic,3,PTGFRN
lasso_logistic,3,SLCO4A1
lasso_logistic,3,SYTL2
lasso_logistic,4,ACTG2
lasso_logistic,4,ACVRL1
lasso_logistic,4,AFF3
lasso_logistic,4,ANK2
lasso_logistic,4,ASPN
lasso_logistic,4,BTNL9
lasso_logistic,4,C12ORF75
lasso_logistic,4,CCDC146
lasso_logistic,4,CCDC80
lasso_logistic,4,CCL13
lasso_logistic,4,CD24
lasso_logistic,4,CDH2
lasso_logistic,4,CDH3
lasso_logistic,4,CDHR3
lasso_logistic,4,CFH
lasso_logistic,4,CLDN1
lasso_logistic,4,CLEC4E
lasso_logistic,4,CLIC6
lasso_logistic,4,CNTN3
lasso_logistic,4,COL14A1
lasso_logistic,4,COL15A1
lasso_logistic,4,COL17A1
lasso_logistic,4,COL1A1
lasso_logistic,4,COL3A1
lasso_logistic,4,COMP
lasso_logistic,4,CP
lasso_logistic,4,CRISPLD1
lasso_logistic,4,CRTAC1
lasso_logistic,4,CSF3R
lasso_logistic,4,CXCL14
lasso_logistic,4,DCLK1
lasso_logistic,4,DIO2
lasso_logistic,4,DTHD1
lasso_logistic,4,DUOX1
lasso_logistic,4,F2RL3
lasso_logistic,4,FAM83D
lasso_logistic,4,FCN3
lasso_logistic,4,FIBIN
lasso_logistic,4,FMO5
lasso_logistic,4,FNDC1
lasso_logistic,4,GEM
lasso_logistic,4,GOLM1
lasso_logistic,4,GPX3
lasso_logistic,4,GPX8
lasso_logistic,4,GRASP
lasso_logistic,4,HDC
lasso_logistic,4,HHLA2
lasso_logistic,4,HIF3A
lasso_logistic,4,HMCN1
lasso_logistic,4,HPSE2
lasso_logistic,4,HSPA4L
lasso_logistic,4,HYDIN
lasso_logistic,4,ID1
lasso_logistic,4,IL13RA2
lasso_logistic,4,IL18R1
lasso_logistic,4,IL18RAP
lasso_logistic,4,INMT
lasso_logistic,4,ITGB8
lasso_logistic,4,ITLN2
lasso_logistic,4,KLHL13
lasso_logistic,4,KRT5
lasso_logistic,4,LRRC17
lasso_logistic,4,LRRC32
lasso_logistic,4,LRRN1
lasso_logistic,4,LTBP1
lasso_logistic,4,MAP1A
lasso_logistic,4,MFSD2A
lasso_logistic,4,MMP7
lasso_logistic,4,NECAB1
lasso_logistic,4,NELL2
lasso_logistic,4,NPR1
lasso_logistic,4,OGN
lasso_logistic,4,PAMR1
lasso_logistic,4,PAPSS2
lasso_logistic,4,PCDH7
lasso_logistic,4,PDE7B
lasso_logistic,4,PLLP
lasso_logistic,4,PSD3
lasso_logistic,4,PTGFRN
lasso_logistic,4,PTPRB
lasso_logistic,4,S100A8
lasso_logistic,4,S1PR1
lasso_logistic,4,SCN1A
lasso_logistic,4,SFRP4
lasso_logistic,4,SIX4
lasso_logistic,4,SLCO4A1
lasso_logistic,4,SMAD6
lasso_logistic,4,SPATA18
lasso_logistic,4,SULF1
lasso_logistic,4,SYNPO2
lasso_logistic,4,SYTL2
lasso_logistic,4,TGFB3
lasso_logistic,4,THY1
lasso_logistic,4,TMEM100
lasso_logistic,4,TP63
lasso_logistic,4,TRIM2
lasso_logistic,4,TSPAN1
lasso_logistic,4,VIPR1
lasso_logistic,4,WDR49
lasso_logistic,4,ZNF385B
lasso_logistic,5,ASPN
lasso_logistic,5,CD24
lasso_logistic,5,CDH3
lasso_logistic,5,CFH
lasso_logistic,5,CNTN3
lasso_logistic,5,COL14A1
lasso_logistic,5,COL15A1
lasso_logistic,5,COL1A1
lasso_logistic,5,CSF3R
lasso_logistic,5,CXCL14
lasso_logistic,5,DCLK1
lasso_logistic,5,DIO2
lasso_logistic,5,F2RL3
lasso_logistic,5,FNDC1
lasso_logistic,5,GPX3
lasso_logistic,5,GRASP
lasso_logistic,5,HMCN1
lasso_logistic,5,IL18R1
lasso_logistic,5,IL18RAP
lasso_logistic,5,KLHL13
lasso_logistic,5,LRRC17
lasso_logistic,5,MMP7
lasso_logistic,5,NECAB1
lasso_logistic,5,PDE7B
lasso_logistic,5,PSD3
lasso_logistic,5,PTGFRN
lasso_logistic,5,S100A8
lasso_logistic,5,SLCO4A1
lasso_logistic,5,SYTL2
lasso_logistic,5,THY1
lasso_logistic,6,ASPN
lasso_logistic,6,CD24
lasso_logistic,6,CDH3
lasso_logistic,6,CNTN3
lasso_logistic,6,COL14A1
lasso_logistic,6,CSF3R
lasso_logistic,6,FNDC1
lasso_logistic,6,GPX3
lasso_logistic,6,HMCN1
lasso_logistic,6,KLHL13
lasso_logistic,6,NECAB1
lasso_logistic,6,PSD3
lasso_logistic,6,PTGFRN
lasso_logistic,6,SLCO4A1
lasso_logistic,6,SYTL2
lasso_logistic,7,ACVRL1
lasso_logistic,7,AFF3
lasso_logistic,7,ANK2
lasso_logistic,7,ASPN
lasso_logistic,7,BTNL9
lasso_logistic,7,C12ORF75
lasso_logistic,7,CCDC146
lasso_logistic,7,CCDC80
lasso_logistic,7,CCL13
lasso_logistic,7,CD24
lasso_logistic,7,CDH2
lasso_logistic,7,CDH3
lasso_logistic,7,CFH
lasso_logistic,7,CLDN1
lasso_logistic,7,CLEC4E
lasso_logistic,7,CNTN3
lasso_logistic,7,COL14A1
lasso_logistic,7,COL15A1
lasso_logistic,7,COL17A1
lasso_logistic,7,COL1A1
lasso_logistic,7,COL1A2
lasso_logistic,7,COL3A1
lasso_logistic,7,COMP
lasso_logistic,7,CP
lasso_logistic,7,CRISPLD1
lasso_logistic,7,CRTAC1
lasso_logistic,7,CSF3R
lasso_logistic,7,CTSK
lasso_logistic,7,CXCL14
lasso_logistic,7,DCLK1
lasso_logistic,7,DIO2
lasso_logistic,7,DTHD1
lasso_logistic,7,DUOX1
lasso_logistic,7,F2RL3
lasso_logistic,7,FAP
lasso_logistic,7,FCN3
