roc_auc,pr_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1,tp,tn,fp,fn,model,fold_id,best_params,selected_feature_count
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,1,"{""clf__C"": 1.0, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,2,"{""clf__C"": 0.3, ""select__k"": 30}",30
0.9958333333333333,0.9983333333333333,0.9411764705882353,0.9291666666666667,0.9583333333333334,0.9,0.9583333333333334,23,9,1,1,lasso_logistic,3,"{""clf__C"": 0.3, ""select__k"": 15}",15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,4,"{""clf__C"": 1.0, ""select__k"": 100}",100
0.9956521739130435,0.9981884057971013,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,lasso_logistic,5,"{""clf__C"": 1.0, ""select__k"": 30}",30
0.9791666666666667,0.9909075616412573,0.8529411764705882,0.8958333333333333,0.7916666666666666,1.0,0.8837209302325582,19,10,0,5,lasso_logistic,6,"{""clf__C"": 0.03, ""select__k"": 15}",15
0.9916666666666667,0.9965972222222221,0.9411764705882353,0.9583333333333333,0.9166666666666666,1.0,0.9565217391304348,22,10,0,2,lasso_logistic,7,"{""clf__C"": 1.0, ""select__k"": 100}",100
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,8,"{""clf__C"": 0.3, ""select__k"": 100}",100
0.9958333333333333,0.9983333333333333,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,9,"{""clf__C"": 0.3, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,0,0,lasso_logistic,10,"{""clf__C"": 1.0, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,11,"{""clf__C"": 0.3, ""select__k"": 15}",15
0.9791666666666667,0.992816091954023,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,12,"{""clf__C"": 0.03, ""select__k"": 15}",15
1.0,1.0,0.9705882352941176,0.9791666666666667,0.9583333333333334,1.0,0.9787234042553191,23,10,0,1,lasso_logistic,13,"{""clf__C"": 0.3, ""select__k"": 50}",50
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,14,"{""clf__C"": 1.0, ""select__k"": 50}",50
1.0,1.0,0.9696969696969697,0.9782608695652174,0.9565217391304348,1.0,0.9777777777777777,22,10,0,1,lasso_logistic,15,"{""clf__C"": 0.3, ""select__k"": 30}",30
1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,0,0,lasso_logistic,16,"{""clf__C"": 0.1, ""select__k"": 30}",30
