feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature,mean_importance,models_with_final_importance,panel_score,discovery_logFC,discovery_adj_p,same_direction_fdr_sig_count,robust_score,validation_details,degree,weighted_degree,hub_score,hub_rank,axis_count,regulating_mirnas,enrichment_gene_set_count,oligonucleotide_strategy,target_priority_score
PTGFRN,337,0.9628571428571429,0.88,0.9,0.96,1.0,1.0,1.0,1.0,7,0.3099985073550481,7.0,3.715569358178054,1.0884517697479,2.9045336746549e-33,3,23.0,GSE110147:1.49/FDR=3.06e-19; GSE150910:1.96/FDR=1.18e-30; GSE53845:0.303/FDR=0.00152; GSE92592:1.89/FDR=1.54e-12,1,0.561,0.0629503958550962,221,2,hsa-miR-30a;hsa-miR-92a,3,upregulated mRNA: siRNA/ASO knockdown candidate,3.1399999999999997
ASPN,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.5194973286947943,7.0,3.9855072463768115,2.87354942016807,8.212072888495109e-43,4,29.0,GSE110147:1.59/FDR=1.61e-08; GSE150910:1.81/FDR=4.4e-22; GSE53845:2.75/FDR=2.11e-08; GSE92592:1.96/FDR=6.26e-08,15,9.31,1.5871530111951828,52,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,3.1199999999999997
COL14A1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.33544653227770077,7.0,3.8260869565217392,2.06047864033614,1.00895030510561e-38,4,29.0,GSE110147:2.35/FDR=1.06e-14; GSE150910:2.52/FDR=6.18e-36; GSE53845:2.5/FDR=5.5e-11; GSE92592:2.74/FDR=4.61e-10,16,10.245,1.6930946923400634,42,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.96
FNDC1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.5270452309611422,7.0,4.0,1.62903684537815,7.57529850525603e-37,3,23.0,GSE110147:0.29/FDR=0.0781; GSE150910:2.99/FDR=2.05e-23; GSE53845:2.21/FDR=1.29e-10; GSE92592:2.6/FDR=7.59e-07,9,4.416,1.1437950145226912,99,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.68
CDH3,346,0.9885714285714285,0.98,0.96,0.98,1.0,1.0,1.0,1.0,7,0.35326857385480626,7.0,3.8177225672877846,1.65436129579832,1.50615627213008e-34,4,29.0,GSE110147:1.46/FDR=5.1e-12; GSE150910:2.9/FDR=3.48e-40; GSE53845:2.28/FDR=9.55e-12; GSE92592:3.08/FDR=2.31e-14,7,4.116,1.1291556393465627,101,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.6
GPX3,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.39374218112811415,7.0,3.86231884057971,-1.41080964201681,2.6086075186579084e-40,3,23.0,GSE110147:-2.3/FDR=2.09e-13; GSE150910:-1.3/FDR=5.2e-19; GSE53845:-2.28/FDR=1.16e-08; GSE92592:-0.843/FDR=0.000174,9,6.03,1.4353560929149252,67,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,2.5999999999999996
CFH,312,0.8914285714285715,0.66,0.8,0.82,0.98,1.0,0.98,1.0,7,0.40133269807464655,5.0,3.6669151138716356,1.15910980336135,3.03447352362242e-31,4,29.0,GSE110147:2.72/FDR=4.43e-19; GSE150910:1.33/FDR=1.26e-37; GSE53845:1.29/FDR=1.59e-07; GSE92592:1.82/FDR=7.66e-10,9,5.373,1.7923049177707864,36,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.5999999999999996
CD24,315,0.9,0.74,0.76,0.84,0.98,1.0,0.98,1.0,7,0.4032934005598536,5.0,3.705797101449275,2.12442620840336,1.0980246443678e-31,4,29.0,GSE110147:1.5/FDR=4.82e-08; GSE150910:1.43/FDR=1.1e-12; GSE53845:2.33/FDR=1.23e-10; GSE92592:1.58/FDR=1.64e-06,11,6.296,1.4959799636329527,60,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.52
NECAB1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0.3391906522613573,7.0,3.8333333333333335,-1.80468093109244,1.40333216811779e-37,4,29.0,GSE110147:-2.04/FDR=1.42e-09; GSE150910:-1.7/FDR=8.09e-14; GSE53845:-2.22/FDR=3.16e-11; GSE92592:-1.68/FDR=1.85e-10,1,0.413,0.6792791543031387,194,0,,2,downregulated mRNA: not primary knockdown target; consider pathway context,2.3600000000000003
THY1,301,0.86,0.6,0.72,0.78,0.96,1.0,0.98,0.98,7,0.4975974503985373,5.0,3.698260869565217,1.71080506386555,1.3830059423566499e-30,3,23.0,GSE110147:0.716/FDR=0.00162; GSE150910:2.76/FDR=8.5e-31; GSE53845:2.39/FDR=8.38e-11; GSE92592:3.02/FDR=3.57e-09,18,11.32,2.2285072901876744,20,0,,2,upregulated mRNA: siRNA/ASO knockdown candidate,2.36
