model,fold_id,feature
lasso_logistic,1,ACSL1
lasso_logistic,1,ACVRL1
lasso_logistic,1,AFF3
lasso_logistic,1,ANK2
lasso_logistic,1,ASPA
lasso_logistic,1,ASPN
lasso_logistic,1,BTNL9
lasso_logistic,1,C12ORF75
lasso_logistic,1,CBS
lasso_logistic,1,CCL13
lasso_logistic,1,CD24
lasso_logistic,1,CDH2
lasso_logistic,1,CDH3
lasso_logistic,1,CFH
lasso_logistic,1,CLDN1
lasso_logistic,1,CLEC4E
lasso_logistic,1,CNTN3
lasso_logistic,1,COL14A1
lasso_logistic,1,COL15A1
lasso_logistic,1,COL17A1
lasso_logistic,1,COL1A1
lasso_logistic,1,COL3A1
lasso_logistic,1,COMP
lasso_logistic,1,CP
lasso_logistic,1,CRISPLD1
lasso_logistic,1,CRTAC1
lasso_logistic,1,CSF3R
lasso_logistic,1,CXCL14
lasso_logistic,1,DCLK1
lasso_logistic,1,DIO2
lasso_logistic,1,DUOX1
lasso_logistic,1,DZIP3
lasso_logistic,1,ECM2
lasso_logistic,1,F2RL3
lasso_logistic,1,FAM13C
lasso_logistic,1,FASN
lasso_logistic,1,FCN3
lasso_logistic,1,FGF14
lasso_logistic,1,FIBIN
lasso_logistic,1,FLT1
lasso_logistic,1,FMO5
lasso_logistic,1,FNDC1
lasso_logistic,1,FPR1
lasso_logistic,1,GLT1D1
lasso_logistic,1,GLT8D2
lasso_logistic,1,GOLM1
lasso_logistic,1,GPR4
lasso_logistic,1,GPX3
lasso_logistic,1,GRASP
lasso_logistic,1,GXYLT2
lasso_logistic,1,HHLA2
lasso_logistic,1,HIF3A
lasso_logistic,1,HMCN1
lasso_logistic,1,HMGCS1
lasso_logistic,1,HPSE2
lasso_logistic,1,HSPA4L
lasso_logistic,1,ID1
lasso_logistic,1,IL13RA2
lasso_logistic,1,IL18R1
lasso_logistic,1,IL18RAP
lasso_logistic,1,IL1R2
lasso_logistic,1,ITGA10
lasso_logistic,1,ITGB8
lasso_logistic,1,KLHL13
lasso_logistic,1,LRRC17
lasso_logistic,1,LRRC32
lasso_logistic,1,LRRN1
lasso_logistic,1,LTBP1
lasso_logistic,1,MFSD2A
lasso_logistic,1,MGAM
lasso_logistic,1,MMP7
lasso_logistic,1,NECAB1
lasso_logistic,1,NPR1
lasso_logistic,1,OGN
lasso_logistic,1,PAPSS2
lasso_logistic,1,PCDH7
lasso_logistic,1,PDE7B
lasso_logistic,1,PDGFRA
lasso_logistic,1,PGM5
lasso_logistic,1,PLLP
lasso_logistic,1,PROK2
lasso_logistic,1,PRSS12
lasso_logistic,1,PSD3
lasso_logistic,1,PTGFRN
lasso_logistic,1,PTPRB
lasso_logistic,1,S100A8
lasso_logistic,1,S1PR1
lasso_logistic,1,SCN1A
lasso_logistic,1,SDR16C5
lasso_logistic,1,SLCO4A1
lasso_logistic,1,SPATA18
lasso_logistic,1,SULF1
