feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature
ASPN,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
CBS,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
COL14A1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
GPX3,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
MGAM,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
PSD3,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
SLCO4A1,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
SYTL2,350,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7
FNDC1,348,0.9942857142857143,0.98,0.98,1.0,1.0,1.0,1.0,1.0,7
NECAB1,347,0.9914285714285714,1.0,0.98,0.96,1.0,1.0,1.0,1.0,7
HMCN1,342,0.9771428571428571,0.94,0.94,0.96,1.0,1.0,1.0,1.0,7
KLHL13,340,0.9714285714285714,0.94,0.94,0.92,1.0,1.0,1.0,1.0,7
CDH3,326,0.9314285714285714,0.82,0.86,0.84,1.0,1.0,1.0,1.0,7
TNFRSF19,323,0.9228571428571428,0.8,0.82,0.84,1.0,1.0,1.0,1.0,7
IL1R2,320,0.9142857142857143,0.78,0.86,0.76,1.0,1.0,1.0,1.0,7
CSF3R,315,0.9,0.76,0.76,0.78,1.0,1.0,1.0,1.0,7
PTGFRN,310,0.8857142857142857,0.74,0.76,0.74,0.98,1.0,0.98,1.0,7
GLT1D1,302,0.8628571428571429,0.62,0.7,0.74,0.98,1.0,1.0,1.0,7
PDE7B,295,0.8428571428571429,0.6,0.64,0.66,1.0,1.0,1.0,1.0,7
GRASP,292,0.8342857142857143,0.6,0.68,0.68,0.96,1.0,0.94,0.98,7
CD24,280,0.8,0.58,0.64,0.64,0.88,1.0,0.9,0.96,7
LRRC17,280,0.8,0.56,0.64,0.64,0.9,1.0,0.9,0.96,7
CFH,271,0.7742857142857142,0.54,0.6,0.62,0.84,1.0,0.84,0.98,7
GXYLT2,265,0.7571428571428571,0.54,0.58,0.62,0.84,1.0,0.8,0.92,7
TPPP3,252,0.72,0.5,0.62,0.62,0.76,1.0,0.7,0.84,7
FASN,250,0.7142857142857143,0.44,0.54,0.56,0.76,1.0,0.8,0.9,7
THY1,242,0.6914285714285714,0.42,0.5,0.52,0.8,1.0,0.72,0.88,7
IL18RAP,237,0.6771428571428572,0.46,0.48,0.5,0.76,1.0,0.72,0.82,7
SDR16C5,236,0.6742857142857143,0.4,0.5,0.58,0.76,0.98,0.66,0.84,7
DIO2,235,0.6714285714285714,0.42,0.44,0.5,0.76,1.0,0.74,0.84,7
NPR1,230,0.6571428571428571,0.42,0.54,0.56,0.72,0.96,0.62,0.78,7
IL18R1,220,0.6285714285714286,0.38,0.46,0.52,0.72,0.96,0.6,0.76,7
DCLK1,219,0.6257142857142857,0.4,0.48,0.52,0.7,0.96,0.56,0.76,7
CNTN3,210,0.6,0.4,0.46,0.5,0.58,0.96,0.56,0.74,7
CXCL14,210,0.6,0.38,0.52,0.52,0.66,0.88,0.54,0.7,7
MMP7,200,0.5714285714285714,0.34,0.5,0.52,0.54,0.98,0.5,0.62,7
COL15A1,199,0.5685714285714286,0.36,0.42,0.5,0.6,0.9,0.48,0.72,7
ECM2,195,0.5571428571428572,0.38,0.44,0.48,0.54,0.88,0.46,0.72,7
S100A8,191,0.5457142857142857,0.34,0.46,0.56,0.5,0.88,0.42,0.66,7
ITGA10,182,0.52,0.3,0.42,0.5,0.48,0.94,0.36,0.64,7
F2RL3,170,0.4857142857142857,0.26,0.36,0.46,0.5,0.9,0.38,0.54,7
FPR1,170,0.4857142857142857,0.28,0.36,0.5,0.46,0.9,0.34,0.56,7
PCDH7,170,0.4857142857142857,0.32,0.42,0.46,0.44,0.88,0.34,0.54,7
ANK2,164,0.4685714285714286,0.32,0.36,0.48,0.44,0.82,0.4,0.46,7
C12ORF75,148,0.4228571428571429,0.28,0.32,0.42,0.4,0.72,0.38,0.44,7
ACSL1,145,0.4142857142857143,0.24,0.36,0.48,0.36,0.8,0.24,0.42,7
ID1,140,0.4,0.24,0.36,0.44,0.3,0.78,0.24,0.44,7
HSPA4L,129,0.36857142857142855,0.16,0.36,0.44,0.24,0.74,0.26,0.38,7
COL1A1,120,0.34285714285714286,0.26,0.34,0.42,0.22,0.74,0.12,0.3,7
PLLP,113,0.32285714285714284,0.18,0.32,0.4,0.18,0.74,0.16,0.28,7
