model,search_parameter,values
lasso_logistic,select__k,15;30;50;100 where permitted
lasso_logistic,clf__C,0.03;0.1;0.3;1.0
elastic_net,select__k,15;30;50;100 where permitted
elastic_net,clf__C,0.03;0.1;0.3;1.0
elastic_net,clf__l1_ratio,0.2;0.5;0.8
linear_svm,select__k,15;30;50;100 where permitted
linear_svm,clf__C,0.03;0.1;0.3;1.0
rbf_svm,select__k,30;50 where permitted
rbf_svm,clf__C,0.1;1.0;3.0
rbf_svm,clf__gamma,scale
random_forest,select__k,50;100 where permitted
random_forest,clf__max_depth,3;5;None
random_forest,clf__min_samples_leaf,1;3
gradient_boosting,select__k,30;50 where permitted
gradient_boosting,clf__n_estimators,80;150
gradient_boosting,clf__learning_rate,0.03;0.08
gradient_boosting,clf__max_depth,1;2
mlp_small,select__k,30;50 where permitted
mlp_small,clf__hidden_layer_sizes,"(16);(16,8);(32,16)"
mlp_small,clf__alpha,0.001;0.01;0.1
