gene_symbol,actionability_class,median_rank,mean_rank,min_rank,max_rank,median_score,top6_frequency,top10_frequency,baseline_rank,equal_weight_rank,leave_one_layer_out_min_rank,leave_one_layer_out_max_rank,perturbation_median_rank,perturbation_rank_5th_percentile,perturbation_rank_95th_percentile
CD24,Knockdown-screening candidate,1.0,1.003968253968254,1.0,5.0,5.202704561763602,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
COL14A1,Knockdown-screening candidate,2.0,2.0009920634920637,1.0,3.0,4.99578305430564,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0
PTGFRN,Knockdown-screening candidate,3.0,3.0,2.0,4.0,4.781041455728417,1.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0
ASPN,Knockdown-screening candidate,4.0,4.245039682539683,1.0,6.0,4.386999513445593,1.0,1.0,4.0,4.0,1.0,6.0,4.0,4.0,5.0
CLDN1,miRNA-axis hypothesis,5.0,4.751984126984127,2.0,7.0,4.2890731432394915,0.9990079365079365,1.0,5.0,4.0,2.0,7.0,5.0,4.0,5.0
POSTN,Context-dependent candidate,6.0,6.489087301587301,5.0,7.0,3.8814334881766532,0.5089285714285714,1.0,6.0,7.0,5.0,7.0,6.0,6.0,7.0
CDH3,Knockdown-screening candidate,7.0,6.511904761904762,5.0,10.0,3.8778252405639373,0.49107142857142855,1.0,7.0,6.0,5.0,10.0,7.0,6.0,7.0
COL1A1,Context-dependent candidate,8.0,8.058531746031745,7.0,11.0,3.3406543898034156,0.0,0.9990079365079365,8.0,9.0,7.0,11.0,8.0,8.0,9.0
COL3A1,Context-dependent candidate,8.0,8.058531746031745,7.0,11.0,3.3406543898034156,0.0,0.9990079365079365,8.0,9.0,7.0,11.0,8.0,8.0,9.0
SPP1,Context-dependent candidate,8.0,8.058531746031745,7.0,11.0,3.3406543898034156,0.0,0.9990079365079365,8.0,9.0,7.0,11.0,8.0,8.0,9.0
GPX3,Restoration/pathway marker,11.0,10.875,6.0,14.0,3.0967802164812728,0.000992063492063492,0.05654761904761905,11.0,8.0,6.0,14.0,11.0,8.0,11.0
NECAB1,Restoration/pathway marker,12.0,12.316468253968255,9.0,14.0,2.888780764292553,0.0,0.001984126984126984,12.0,12.0,9.0,14.0,12.0,12.0,14.0
MNS1,miRNA-axis hypothesis,13.0,12.8125,8.0,13.0,2.6938031401761204,0.0,0.000992063492063492,13.0,13.0,8.0,13.0,13.0,12.0,13.0
RPGRIP1L,miRNA-axis hypothesis,13.0,12.8125,8.0,13.0,2.6938031401761204,0.0,0.000992063492063492,13.0,13.0,8.0,13.0,13.0,12.0,13.0
