gene_symbol,discovery_logFC,discovery_adj_p,same_direction_fdr_sig_count,robust_score,in_ml_panel,ml_selection_frequency,ml_panel_score,ppi_hub_rank,ppi_hub_score,enrichment_gene_set_count,exact_axis_count,arm_agnostic_axis_count,axis_evidence_weight,regulating_mirnas,max_abs_single_cell_delta,single_cell_dataset_count,top_single_cell_context,robust_component,ml_component,ppi_component,enrichment_component,axis_component,single_cell_component,oligo_tractability_component,final_priority_score,direction,suggested_oligonucleotide_strategy,priority_tier,target_gene,perturbation_priority_proxy_score,oligonucleotide_interpretation,claim_strength,actionability_class,disease_direction_component,cross_cohort_component,cell_localization_component,perturbation_component,mirna_axis_component,context_penalty,oligo_actionability_score,actionability_evidence_layers,recommended_validation_route
POSTN,1.57060251092437,1.7701881526927202e-17,4.0,29.0,False,0.0,0.0,6.0,2.9055936047004125,2.0,0.0,0.0,0.0,,1.8256676866606016,2.0,Myofibroblast;Vascular-Endothelial_A;Endothelial Cells,2.0,0.0,0.8622663932302226,0.6666666666666666,0.0,1.3226670390424868,0.5,5.351600098939376,upregulated,siRNA/ASO knockdown candidate,Tier 1,POSTN,80.35753647142586,knockdown aligns with IPF reversal,primary_candidate,Context-dependent candidate,1.0,1.0,1.0,0.5449787019037942,0.0,0.15,3.8949787019037942,robust; single-cell; perturbation-priority,context-specific knockdown or pathway-modulation screen
COL1A1,1.77332415462185,8.23473412445262e-27,4.0,29.0,False,0.0,0.0,4.0,3.056530044109598,2.0,0.0,0.0,0.0,,1.916558287995994,2.0,Myofibroblast;Fibroblast;Mesothelial Cells,2.0,0.0,0.9070584174850356,0.6666666666666666,0.0,1.38851582599504,0.5,5.4622409101467415,upregulated,siRNA/ASO knockdown candidate,Tier 1,,0.0,,,Context-dependent candidate,1.0,1.0,1.0,0.0,0.0,0.15,3.35,robust; single-cell,context-specific knockdown or pathway-modulation screen
SPP1,1.92438231764706,3.15819963907801e-09,4.0,29.0,False,0.0,0.0,16.0,2.365617380229134,2.0,0.0,0.0,0.0,,2.0704390819123875,2.0,Macrophages;Macrophage;Mast Cells,2.0,0.0,0.7020225963166725,0.6666666666666666,0.0,1.5,0.5,5.368689262983339,upregulated,siRNA/ASO knockdown candidate,Tier 1,SPP1,-34.03913158988748,knockdown aligns with IPF reversal,primary_candidate,Context-dependent candidate,1.0,1.0,1.0,0.0,0.0,0.15,3.35,robust; single-cell,context-specific knockdown or pathway-modulation screen
COL3A1,1.61665883193278,8.19109228236334e-25,4.0,29.0,False,0.0,0.0,5.0,2.9096649866580817,2.0,0.0,0.0,0.0,,1.6288083872324068,2.0,Myofibroblast;Mesothelial Cells;Fibroblasts,2.0,0.0,0.8634746199520954,0.6666666666666666,0.0,1.1800456251974851,0.5,5.210186911816248,upregulated,siRNA/ASO knockdown candidate,Tier 2,,0.0,,,Context-dependent candidate,1.0,1.0,1.0,0.0,0.0,0.15,3.35,robust; single-cell,context-specific knockdown or pathway-modulation screen
TNIK,,,,,,,,,,,,,,,,,,,,,,,,,,context-dependent,,,,-79.20680798241628,,,External TNIK bridge,,,,,,,1.5,validation DE; Wnt/TNIK bridge; external reagent,"test TNIK reagent as external Wnt/TNIK bridge, not primary discovery candidate"
CD24,2.12442620840336,1.0980246443678e-31,4.0,29.0,True,0.8,3.261538461538461,,0.0,2.0,0.0,0.0,0.0,,0.8166523335562045,2.0,AT2;Transitional AT2;MUC5B+,2.0,0.8,0.0,0.6666666666666666,0.0,0.5916515540282594,0.5,5.358318220694926,upregulated,siRNA/ASO knockdown candidate,Tier 1,CD24,147.4507832887963,knockdown aligns with IPF reversal,primary_candidate,Knockdown-screening candidate,1.0,1.0,1.0,1.0,0.0,0.0,5.22,robust; ML; single-cell; perturbation-priority,siRNA/ASO knockdown screen in localized disease-relevant cells
COL14A1,2.06047864033614,1.00895030510561e-38,4.0,29.0,True,1.0,3.730769230769231,,0.0,2.0,0.0,0.0,0.0,,1.337935898214503,2.0,Myofibroblasts;Fibroblasts;Myofibroblast,2.0,1.0,0.0,0.6666666666666666,0.0,0.9693131591527204,0.5,6.135979825819387,upregulated,siRNA/ASO knockdown candidate,Tier 1,COL14A1,89.5648919477293,knockdown aligns with IPF reversal,primary_candidate,Knockdown-screening candidate,1.0,1.0,1.0,0.6074222866100887,0.0,0.0,5.007422286610089,robust; ML; single-cell; perturbation-priority,siRNA/ASO knockdown screen in localized disease-relevant cells
PTGFRN,1.0884517697479,2.9045336746549e-33,3.0,23.0,True,0.8857142857142857,3.417582417582417,,0.0,3.0,0.0,2.0,0.25,hsa-miR-30a;hsa-miR-92a,0.3529888416711355,2.0,Myofibroblast;Myofibroblasts,1.5862068965517242,0.8857142857142857,0.0,1.0,0.25,0.2557347700458007,0.5,5.363370238026096,upregulated,siRNA/ASO knockdown candidate,Tier 1,PTGFRN,59.59192479911327,knockdown aligns with IPF reversal,primary_candidate,Knockdown-screening candidate,1.0,0.75,1.0,0.4041479025743584,0.5,0.0,4.801290759717216,robust; ML; exploratory miRNA axis; single-cell; perturbation-priority,siRNA/ASO knockdown screen in localized disease-relevant cells
ASPN,2.87354942016807,8.212072888495109e-43,4.0,29.0,True,1.0,3.992307692307692,,0.0,2.0,0.0,0.0,0.0,,0.8964159207967182,2.0,Pericyte;Myofibroblasts;Myofibroblast,2.0,1.0,0.0,0.6666666666666666,0.0,0.6494389972358415,0.5,5.816105663902508,upregulated,siRNA/ASO knockdown candidate,Tier 1,,0.0,,,Knockdown-screening candidate,1.0,1.0,1.0,0.0,0.0,0.0,4.4,robust; ML; single-cell,siRNA/ASO knockdown screen in localized disease-relevant cells
CDH3,1.65436129579832,1.50615627213008e-34,4.0,29.0,True,0.9314285714285714,3.609010989010989,,0.0,2.0,0.0,0.0,0.0,,0.3368380350001386,1.0,Goblet_A,2.0,0.9314285714285714,0.0,0.6666666666666666,0.0,0.2440337689305597,0.5,5.27355757845437,upregulated,siRNA/ASO knockdown candidate,Tier 1,CDH3,7.744874596911013,knockdown aligns with IPF reversal,primary_candidate,Knockdown-screening candidate,1.0,1.0,0.5,0.05252515059036306,0.0,0.0,3.8908108648760775,robust; ML; single-cell; perturbation-priority,siRNA/ASO knockdown screen in localized disease-relevant cells
GPX3,-1.41080964201681,2.608607518657908e-40,3.0,23.0,True,1.0,3.7615384615384615,,0.0,2.0,0.0,0.0,0.0,,1.8644553673969075,2.0,Myofibroblast;Myofibroblasts;Fibroblast,1.5862068965517242,1.0,0.0,0.6666666666666666,0.0,1.3507680933612252,0.5,6.103641656579616,downregulated,restoration pathway or avoid direct knockdown,Tier 1,,0.0,,,Restoration/pathway marker,0.35,0.75,1.0,0.0,0.0,0.15,3.105,robust; ML; single-cell,restoration/pathway readout; avoid simple knockdown framing
NECAB1,-1.80468093109244,1.40333216811779e-37,4.0,29.0,True,0.9914285714285714,3.736703296703297,,0.0,2.0,0.0,0.0,0.0,,0.343633863700457,1.0,Mesothelial;ATII_Low-Surfactants,2.0,0.9914285714285714,0.0,0.6666666666666666,0.0,0.2489572381306591,0.5,5.398481047654469,downregulated,restoration pathway or avoid direct knockdown,Tier 1,,0.0,,,Restoration/pathway marker,0.35,1.0,0.5,0.0,0.0,0.15,2.8972857142857142,robust; ML; single-cell,restoration/pathway readout; avoid simple knockdown framing
CLDN1,1.51826676470589,9.19195196331401e-21,4.0,29.0,False,0.0,0.0,,0.0,3.0,1.0,1.0,1.0,hsa-miR-375;hsa-miR-141,0.5306784787472145,2.0,Mesothelial;Goblet_A;cDCs,2.0,0.0,0.0,1.0,1.0,0.3844680701185228,0.5,4.884468070118523,upregulated,siRNA/ASO knockdown candidate,Tier 2,,0.0,,,miRNA-axis hypothesis,1.0,1.0,1.0,0.0,1.0,0.0,4.3,robust; exact miRNA axis; single-cell,miRNA mimic or axis-specific repression validation
