queryItem,queryIndex,stringId,ncbiTaxonId,taxonName,preferredName,annotation,gene_set
C6,0,9606.ENSP00000263413,9606,Homo sapiens,C6,Complement component C6; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells.,mirna_mrna_axis_targets_all
CCDC113,1,9606.ENSP00000219299,9606,Homo sapiens,CCDC113,Coiled-coil domain-containing protein 113; Component of centriolar satellites contributing to primary cilium formation.,mirna_mrna_axis_targets_all
CDH2,2,9606.ENSP00000269141,9606,Homo sapiens,CDH2,"Cadherin-2; Calcium-dependent cell adhesion protein; preferentially mediates homotypic cell-cell adhesion by dimerization with a CDH2 chain from another cell. Cadherins may thus contribute to the sorting of heterogeneous cell types. Acts as a regulator of neural stem cells quiescence by mediating anchorage of neural stem cells to ependymocytes in the adult subependymal zone: upon cleavage by MMP24, CDH2-mediated anchorage is affected, leading to modulate neural stem cell quiescence. CDH2 may be involved in neuronal recognition mechanism. In hippocampal neurons, may regulate dendritic s [...] ",mirna_mrna_axis_targets_all
CHST9,3,9606.ENSP00000480991,9606,Homo sapiens,CHST9,"Carbohydrate sulfotransferase 9; Catalyzes the transfer of sulfate to position 4 of non- reducing N-acetylgalactosamine (GalNAc) residues in both N-glycans and O-glycans. Participates in biosynthesis of glycoprotein hormones lutropin and thyrotropin, by mediating sulfation of their carbohydrate structures. Has a higher activity toward carbonic anhydrase VI than toward lutropin. Only active against terminal GalNAcbeta1,GalNAcbeta. Isoform 2, but not isoform 1, is active toward chondroitin.",mirna_mrna_axis_targets_all
CLDN1,4,9606.ENSP00000295522,9606,Homo sapiens,CLDN1,"Claudin-1; Claudins function as major constituents of the tight junction complexes that regulate the permeability of epithelia. While some claudin family members play essential roles in the formation of impermeable barriers, others mediate the permeability to ions and small molecules. Often, several claudin family members are coexpressed and interact with each other, and this determines the overall permeability. CLDN1 is required to prevent the paracellular diffusion of small molecules through tight junctions in the epidermis and is required for the normal barrier function of the skin. [...] ",mirna_mrna_axis_targets_all
FAM81B,5,9606.ENSP00000283357,9606,Homo sapiens,FAM81B,Protein FAM81B; Family with sequence similarity 81 member B.,mirna_mrna_axis_targets_all
GOLM1,6,9606.ENSP00000373364,9606,Homo sapiens,GOLM1,Golgi membrane protein 1; Unknown. Cellular response protein to viral infection.,mirna_mrna_axis_targets_all
LRRN1,7,9606.ENSP00000314901,9606,Homo sapiens,LRRN1,Leucine rich repeat neuronal 1.,mirna_mrna_axis_targets_all
LTBP1,8,9606.ENSP00000386043,9606,Homo sapiens,LTBP1,"Latent-transforming growth factor beta-binding protein 1; Key regulator of transforming growth factor beta (TGFB1, TGFB2 and TGFB3) that controls TGF-beta activation by maintaining it in a latent state during storage in extracellular space. Associates specifically via disulfide bonds with the Latency-associated peptide (LAP), which is the regulatory chain of TGF-beta, and regulates integrin-dependent activation of TGF-beta. Outcompeted by LRRC32/GARP for binding to LAP regulatory chain of TGF-beta. Belongs to the LTBP family.",mirna_mrna_axis_targets_all
MNS1,9,9606.ENSP00000260453,9606,Homo sapiens,MNS1,Meiosis-specific nuclear structural protein 1; May play a role in the control of meiotic division and germ cell differentiation through regulation of pairing and recombination during meiosis; Belongs to the MNS1 family.,mirna_mrna_axis_targets_all
