data_type,standard_feature_id,gene_symbol,mirna_name,discovery_series_id,discovery_logFC,discovery_adj_p,discovery_p_value,discovery_direction,GSE21394_present,GSE21394_logFC,GSE21394_adj_p,GSE21394_p_value,GSE21394_same_direction,GSE21394_same_direction_fdr_sig,GSE21394_same_direction_nominal_sig,GSE27430_present,GSE27430_logFC,GSE27430_adj_p,GSE27430_p_value,GSE27430_same_direction,GSE27430_same_direction_fdr_sig,GSE27430_same_direction_nominal_sig,validation_datasets_total,validation_datasets_present,same_direction_validation_count,opposite_direction_validation_count,same_direction_fdr_sig_count,same_direction_nominal_sig_count,direction_consistency_fraction,robust_strict,robust_relaxed,robust_score,validation_details
miRNA,hsa-miR-375,,hsa-miR-375,GSE32538,-1.5199519354717,2.7550623237396902e-14,1.68271435653174e-16,down,True,-0.722806009222222,0.0739311021929599,0.0147557961167019,True,False,False,True,-1.10318109134615,0.0218306479279626,0.0005849869115897,True,True,True,2,2,2,0,1,1,1.0,True,True,9.0,GSE21394:-0.723/FDR=0.0739; GSE27430:-1.1/FDR=0.0218
miRNA,hsa-miR-30d,,hsa-miR-30d,GSE32538,-1.3825413490566,5.50378061628144e-13,5.50072465813803e-15,down,True,-1.39915257222222,0.0057354419796961,0.000368311870203,True,True,True,True,-0.809833411410256,0.0381449830503092,0.0014408892603419,True,False,False,2,2,2,0,1,1,1.0,True,True,9.0,GSE21394:-1.4/FDR=0.00574; GSE27430:-0.81/FDR=0.0381
miRNA,hsa-miR-30a,,hsa-miR-30a,GSE32538,-1.39235319245283,1.97329730817415e-12,2.19133515621782e-14,down,True,-2.04331125177778,0.0001401873837834,1.73070844177072e-07,True,True,True,True,-0.658526965628205,0.335370207170535,0.0375810707182573,True,False,False,2,2,2,0,1,1,1.0,True,True,9.0,GSE21394:-2.04/FDR=0.00014; GSE27430:-0.659/FDR=0.335
miRNA,hsa-miR-423-5p,,hsa-miR-423-5p,GSE32538,-1.53885300377358,2.95915781444888e-10,6.407948626513399e-12,down,True,-2.32528154938889,0.0025404371921477,8.46812397382598e-05,True,True,True,True,-0.125128243141026,0.813350470240112,0.657813291400042,True,False,False,2,2,2,0,1,1,1.0,True,True,9.0,GSE21394:-2.33/FDR=0.00254; GSE27430:-0.125/FDR=0.813
miRNA,hsa-miR-31,,hsa-miR-31,GSE32538,2.34222752471698,1.28435907605202e-08,3.85093781825702e-10,up,True,0.8069548125,0.0385568809230071,0.0057597315946714,True,False,False,True,2.47480734407692,0.015337759672021,0.0003146800913081,True,True,True,2,2,2,0,1,1,1.0,True,True,9.0,GSE21394:0.807/FDR=0.0386; GSE27430:2.47/FDR=0.0153
miRNA,hsa-miR-205,,hsa-miR-205,GSE32538,1.80931917833962,2.79190137328567e-08,8.83611206425781e-10,up,True,1.89259225427778,0.0159519481848598,0.0017855678626674,True,True,True,True,1.91180542903846,0.656209506007511,0.123089237424064,True,False,False,2,2,2,0,1,1,1.0,True,True,9.0,GSE21394:1.89/FDR=0.016; GSE27430:1.91/FDR=0.656
miRNA,hsa-miR-34c-5p,,hsa-miR-34c-5p,GSE32538,2.33108630471698,3.3592383884623e-07,1.23103683308446e-08,up,True,1.78671642683333,0.0210034486123939,0.0025584447692463,True,True,True,True,0.182061773076923,0.912564117578072,0.853411385460899,True,False,False,2,2,2,0,1,1,1.0,True,True,9.0,GSE21394:1.79/FDR=0.021; GSE27430:0.182/FDR=0.913
miRNA,hsa-miR-92a,,hsa-miR-92a,GSE32538,-1.07152392264151,6.04998625818804e-07,2.3514660637044e-08,down,True,-1.16027482761111,0.0361895974777781,0.0053614218485597,True,True,True,True,-0.235659244833333,0.68978001151415,0.136107627119723,True,False,False,2,2,2,0,1,1,1.0,True,True,9.0,GSE21394:-1.16/FDR=0.0362; GSE27430:-0.236/FDR=0.69
miRNA,hsa-miR-203,,hsa-miR-203,GSE32538,-1.34545923830189,7.94740789059202e-12,9.70810514120069e-14,down,True,1.19806007572222,0.004299690113673,0.0002317939937823,False,False,False,True,-1.77142818657051,0.0114935003892317,0.0001561077313101,True,True,True,2,2,1,1,1,1,0.5,True,True,5.5,GSE21394:1.2/FDR=0.0043; GSE27430:-1.77/FDR=0.0115
miRNA,hsa-miR-141,,hsa-miR-141,GSE32538,-1.01826355830189,1.11718273596449e-09,2.6673435672667e-11,down,True,-2.13752372233333,0.0003087211775774,8.34383635404628e-07,True,True,True,True,0.0678407977564105,0.941501918311242,0.89219061199287,False,False,False,2,2,1,1,1,1,0.5,True,True,5.5,GSE21394:-2.14/FDR=0.000309; GSE27430:0.0678/FDR=0.942
