series_id,broad_celltype,gene_symbol,ipf_donors,control_donors,ipf_mean_log1p_norm,control_mean_log1p_norm,ipf_minus_control_log1p_norm,welch_t,p_value,fdr_bh
GSE136831,Myeloid,SPP1,32,28,2.449169729441819,0.7115800668113704,1.7375896626304486,9.411682171559631,2.9218605232050156e-13,2.1037395767076113e-11
GSE136831,Endothelial,POSTN,32,27,1.9612128640195472,0.5158583846021516,1.4453544794173956,8.506154291648011,1.5959922266153998e-11,5.74557201581544e-10
GSE136831,Stromal,POSTN,32,26,1.3572410892825533,0.06791320096706033,1.2893278883154928,8.271579131576209,1.1153532238102155e-09,2.6768477371445175e-08
GSE136831,Stromal,COL1A1,32,26,3.1443925051202366,1.8049633678001447,1.339429137320092,6.491922492568391,2.3843620293308997e-08,3.6971953384215235e-07
GSE136831,Stromal,GPX3,32,26,1.3862606467541836,2.5006026694927193,-1.1143420227385357,-7.004430563829864,2.5674967627927248e-08,3.6971953384215235e-07
GSE136831,Myeloid,CD24,32,28,0.01946782711031258,0.00633745436454828,0.013130372745764299,6.358994887219806,5.7268768256983814e-08,6.115124930497541e-07
GSE136831,Lymphoid,SPP1,32,28,0.3639241074478906,0.0601830877485582,0.3037410196993324,6.539697245600768,5.945260349094831e-08,6.115124930497541e-07
GSE136831,Stromal,PTGFRN,32,26,0.3781397360968414,0.1323429641023995,0.24579677199444186,5.999718259297941,1.55591201759603e-07,1.400320815836427e-06
GSE136831,Epithelial,COL1A1,32,28,0.3368189787067747,0.060776942125423415,0.2760420365813513,6.2038773908031395,2.197421109291574e-07,1.6749350447148534e-06
GSE136831,Epithelial,CD24,32,28,1.5049370935108548,0.8715182364279913,0.6334188570828635,6.318097897181936,2.3262986732150738e-07,1.6749350447148534e-06
GSE136831,Stromal,SPP1,32,26,0.24626858290299386,0.044798836907668255,0.2014697459953256,5.637444883658631,8.105831067021566e-07,5.305634880232297e-06
GSE136831,Stromal,COL3A1,32,26,3.020212007800124,1.9720899521365296,1.0481220556635944,5.396577994916943,1.6614289764088206e-06,9.968573858452924e-06
GSE136831,Endothelial,SPP1,32,27,0.4629770793729403,0.12261118386257024,0.34036589551037005,5.177597654837199,3.1394679915981702e-06,1.7387822722697557e-05
GSE136831,Epithelial,SPP1,32,28,0.2871051962991298,0.09568723559470131,0.19141796070442846,5.015613813765251,5.576514884308662e-06,2.8679219405015977e-05
GSE136831,Lymphoid,CD24,32,28,0.15735401375526165,0.06666171693837561,0.09069229681688604,3.949945902590835,0.00024180334617849645,0.001160656061656783
GSE135893,Epithelial,PTGFRN,12,10,0.15621447855662604,0.07367498499683978,0.08253949355978626,4.401944039170625,0.0002851634554696144,0.0012832355496132648
GSE136831,Myeloid,COL1A1,32,28,0.0386259830497834,0.004553106224836424,0.03407287682494698,4.0238628417478495,0.0003284944292365471,0.0013409691835058735
GSE136831,Endothelial,COL1A1,32,27,0.048290278481875365,0.004508549939916623,0.04378172854195874,3.9910224160567602,0.00033524229587646837,0.0013409691835058735
GSE135893,Immune,SPP1,12,10,2.678679286150741,0.9135568229751737,1.7651224631755675,4.270510825153132,0.00037913240582774366,0.0014367122747156603
