series_id,donor_id,group,broad_celltype,gene_symbol,cells,library_sum,raw_count_sum,norm_count_per_10k,log1p_norm_count_per_10k
GSE135893,THD0001,Control,Endothelial,CD24,70,454072.0,0.0,0.0,0.0
GSE135893,THD0001,Control,Endothelial,COL14A1,70,454072.0,0.0,0.0,0.0
GSE135893,THD0001,Control,Endothelial,COL1A1,70,454072.0,0.0,0.0,0.0
GSE135893,THD0001,Control,Endothelial,COL3A1,70,454072.0,0.0,0.0,0.0
GSE135893,THD0001,Control,Endothelial,GPX3,70,454072.0,1025.0,22.573512570693634,3.1601237330271816
GSE135893,THD0001,Control,Endothelial,POSTN,70,454072.0,99.0,2.1802709702426046,1.1569664039299687
GSE135893,THD0001,Control,Endothelial,PTGFRN,70,454072.0,0.0,0.0,0.0
GSE135893,THD0001,Control,Endothelial,SPP1,70,454072.0,3.0,0.06606881728007892,0.06397788020788497
GSE135893,THD0001,Control,Epithelial,CD24,1331,18170026.0,84.0,0.04622998338032098,0.04519321086345178
GSE135893,THD0001,Control,Epithelial,COL14A1,1331,18170026.0,2.0,0.0011007138900076421,0.0011001085486381952
GSE135893,THD0001,Control,Epithelial,COL1A1,1331,18170026.0,138.0,0.07594925841052733,0.0732033030166035
GSE135893,THD0001,Control,Epithelial,COL3A1,1331,18170026.0,1.0,0.0005503569450038211,0.0005502055541638175
GSE135893,THD0001,Control,Epithelial,GPX3,1331,18170026.0,72.0,0.03962570004027512,0.0388607445649345
GSE135893,THD0001,Control,Epithelial,POSTN,1331,18170026.0,19.0,0.010456781955072601,0.010402487976185456
GSE135893,THD0001,Control,Epithelial,PTGFRN,1331,18170026.0,117.0,0.06439176256544707,0.06240352105109641
GSE135893,THD0001,Control,Epithelial,SPP1,1331,18170026.0,28.0,0.015409994460106992,0.015292466362474787
GSE135893,THD0001,Control,Immune,CD24,806,6580690.0,0.0,0.0,0.0
GSE135893,THD0001,Control,Immune,COL14A1,806,6580690.0,6.0,0.009117584934102654,0.00907627069078761
GSE135893,THD0001,Control,Immune,COL1A1,806,6580690.0,0.0,0.0,0.0
GSE135893,THD0001,Control,Immune,COL3A1,806,6580690.0,0.0,0.0,0.0
GSE135893,THD0001,Control,Immune,GPX3,806,6580690.0,293.0,0.44524206428201296,0.36827682606899764
GSE135893,THD0001,Control,Immune,POSTN,806,6580690.0,0.0,0.0,0.0
