series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,platform,standard_feature_id,gene_symbol,mirna_name,entrez_id,all_mapped_symbols,annotation_source,is_annotated,is_multi_mapped
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,8162624,-1.60068090909091,8.3899493939394,-17.5612073900965,5.96633175918728e-19,2.54693523827768e-17,33.1026288567488,GPL6244,AAED1,AAED1,,195827,AAED1,GPL6244_platform_table,True,False
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,7989953,1.43056590909091,7.69600151515152,17.8745491162499,3.4100536784837e-19,1.57920107555594e-17,33.6662623838411,GPL6244,AAGAB,AAGAB,,79719,AAGAB,GPL6244_platform_table,True,False
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,7942783,-1.01976818181818,6.86882909090909,-9.60866458069322,2.34385739243262e-11,1.51276254304767e-10,15.4163618964105,GPL6244,AAMDC,AAMDC,,28971,AAMDC,GPL6244_platform_table,True,False
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,8100478,1.19139727272727,7.34255393939394,14.242419371197,3.81568515872267e-16,7.08593802175063e-15,26.5780127458595,GPL6244,AASDH,AASDH,,132949,AASDH,GPL6244_platform_table,True,False
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,7943552,1.11067454545455,8.35880696969697,15.0255205535544,7.55599835554005e-17,1.7220539167995701e-15,28.2155311394593,GPL6244,AASDHPPT,AASDHPPT,,60496,AASDHPPT,GPL6244_platform_table,True,False
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,8142554,1.09162454545455,9.62400151515152,7.96065912856134,2.27400514217093e-09,1.04251065976684e-08,10.793720831548,GPL6244,AASS,AASS,,10157,AASS,GPL6244_platform_table,True,False
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,8018006,1.34176454545455,7.61808606060606,6.6191078117185,1.1821953756108e-07,4.14222449981192e-07,6.81744175613337,GPL6244,ABCA10,ABCA10,,10349,ABCA10,GPL6244_platform_table,True,False
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,8098752,1.49267636363636,6.34123575757576,15.6441777036072,2.19566846139709e-17,5.80692396816035e-16,29.4644095585649,GPL6244,ABCA11P,ABCA11P,,79963;170960,ABCA11P;ZNF721,GPL6244_platform_table,True,True
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,8132743,1.77593136363636,7.3470796969697,5.38942480120266,4.90722940950198e-06,1.33428072552823e-05,3.09344700683166,GPL6244,ABCA13,ABCA13,,154664,ABCA13,GPL6244_platform_table,True,False
GSE110147,bulk mRNA,validation,limma,IPF_vs_Control,7998784,-2.03578863636364,9.26906757575758,-8.09599335121788,1.54232485340544e-09,7.27508013087417e-09,11.1854320367281,GPL6244,ABCA3,ABCA3,,21,ABCA3,GPL6244_platform_table,True,False
